PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-09,18:33:17.08,1,1,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Green, London",1000122577,Left,TAR_TEX,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.10344,-2.395528,-2.078571,2232.859755,244.488891,2:15,5.88562,1.33448,5.88067,-23.7934,10.30138,19.06718,1.67529,0.99215,82.59094,-6.842401,1.344997,0.420257,,,,,,,,,,,,-10.33863,6.37607,-1.17722,50,5.67827,3.94824,-132.04785,-6.33072,-18.04303,31.15545,-21.0465,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,bc8bc870-a009-11ec-9086-eb63b92df2bb,89.68893,,,8.51251,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:33:17.08,2022-03-09T18:33:17.0867784-06:00,2022-03-10T00:33:17.0867784Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,3ca3f06d-112a-4164-ac53-c2d3372b0d94,54.61935,-133.13328,15.57773,5.88606,-5.59748,-10.52325,-1.32572,4.57685,-9.02152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-09,18:33:31.70,1,2,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Green, London",1000122577,Left,TAR_TEX,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.3181,-3.560301,-3.444587,2338.774265,233.493173,1:45,5.86298,1.00213,5.89092,-19.56308,13.5591,16.79631,0.91657,-0.80049,84.10903,-7.231738,-0.43396,0.41422,,,,,,,,,,,,-9.58839,8.31658,-0.73378,50,5.5639,7.30337,-133.60632,-8.96351,-17.24681,30.10087,-17.21488,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,c53c83b0-a009-11ec-9086-eb63b92df2bb,90.99623,,,8.20907,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:33:31.70,2022-03-09T18:33:31.7026888-06:00,2022-03-10T00:33:31.7026888Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,cd98426a-7f7d-4b6f-955d-33dc0ed859ca,54.61029,-134.64099,15.05043,5.86183,-8.37177,-8.60744,-0.99501,7.8962,-8.62341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-09,18:33:44.41,1,3,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Green, London",1000122577,Left,TAR_TEX,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,92.01158,-1.306878,-2.541588,2306.739422,242.587822,2:00,5.8061,0.9255,6.10535,-22.72702,10.06788,17.38324,2.70218,0.02209,84.05097,-5.569181,0.589936,0.412168,98.61395,43.365179,26.517889,4512.552252,,,,,136.23575,,,-9.76701,5.88071,-0.73934,50,5.69354,5.21093,-133.61611,-3.79549,-17.6172,29.39738,-21.56678,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,ccc6c050-a009-11ec-9086-eb63b92df2bb,91.44917,124.733,,7.96061,,,,3.57701,2.91366,-0.04606,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:33:44.41,2022-03-09T18:33:44.4102728-06:00,2022-03-10T00:33:44.4102728Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,4a6f375c-7cb2-4368-84b9-6414aa0fb42b,54.39792,-134.58024,14.69869,5.80642,-3.08818,-10.78339,-0.91971,5.7887,-8.8086,183.570068,3.577,94.0878,-25.7123,7.02687,-1.57923,0.27678,-0.02162,-0.00472,0.00113,2.91368,99.30885,-19.17845,0.335,0.28899,-0.06989,-0.01736,0.01233,-0.00193,-0.04607,46.94821,-11.35269,3.89825,-1.03054,0.19657,-0.01213,-0.00542,0.00114,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2022-03-09,18:34:17.88,2,1,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Kurahashi- Choy Foo, Dylan",1000122541,Right,TAR_TEX,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.56086,-2.204879,-3.52657,2344.813533,236.172931,1:45,5.94647,1.02714,5.78318,-20.48729,12.58233,17.08387,2.18282,-0.83457,84.06923,-6.049659,-0.471748,0.413891,,,,,,,,,,,,-9.70902,7.39874,-0.74609,50,5.75194,7.48818,-134.04987,-5.8597,-17.55285,30.71592,-18.79793,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,e0c46580-a009-11ec-9086-eb63b92df2bb,91.06854,,,8.49163,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:34:17.88,2022-03-09T18:34:17.8884168-06:00,2022-03-10T00:34:17.8884168Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,8cecbda2-01cd-49fc-9645-0195c22253f3,54.71729,-135.12646,15.35796,5.94578,-5.20084,-9.39897,-1.01933,8.1034,-8.77643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-09,18:34:35.22,2,2,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Kurahashi- Choy Foo, Dylan",1000122541,Right,TAR_TEX,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.46433,-2.600683,-3.472716,2350.162997,216.836472,1:15,5.94236,1.08015,5.89572,-15.23698,17.81473,12.48312,2.25187,-1.10782,83.82924,-5.518068,-1.237344,0.413779,,,,,,,,,,,,-7.40162,10.22127,-0.80724,50,5.7237,7.5678,-133.86963,-6.5318,-13.33022,30.93782,-13.76569,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,eb114490-a009-11ec-9086-eb63b92df2bb,91.09317,,,8.63509,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:34:35.22,2022-03-09T18:34:35.2204360-06:00,2022-03-10T00:34:35.2204360Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,7a1fb8c4-a111-4f9b-aef7-fcab91a9f2e0,54.60403,-134.92945,15.46891,5.93938,-6.06024,-6.88285,-1.07431,8.02444,-6.66511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-09,18:34:53.56,2,3,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Kurahashi- Choy Foo, Dylan",1000122541,Right,TAR_TEX,Undefined,1,Top,1,0,2,Fastball,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,,92.30966,-4.599583,-4.734577,2326.883717,234.719421,1:45,5.92905,0.93905,6.10273,-19.54686,13.35036,17.3278,0.02247,-2.00573,84.4919,-8.263678,-1.623382,0.412811,,,,,,,,,,,,-10.28504,8.51103,-0.58315,50,5.563,10.31437,-133.32826,-11.378,-18.50524,28.78837,-16.86068,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,f60bc8c0-a009-11ec-9086-eb63b92df2bb,91.30681,,,7.81776,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:34:53.56,2022-03-09T18:34:53.5668296-06:00,2022-03-10T00:34:53.5668296Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,5f044ae8-8535-433e-9048-5171bf2aabbe,54.39985,-134.27492,14.39418,5.92803,-10.82357,-8.43034,-0.93233,10.92288,-9.25262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-09,18:35:13.73,2,4,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Kurahashi- Choy Foo, Dylan",1000122541,Right,TAR_TEX,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.70582,-2.663958,-2.435071,2306.770822,223.41742,1:30,5.90939,0.9128,6.00741,-15.62135,17.19454,15.15619,2.1354,-0.08167,83.78017,-5.660749,0.289314,0.4123,105.21756,7.103899,-14.833841,733.387794,105.74401,8.01012,-30.3019,181.76782,181.76782,-17.229654,1.431141,-8.58989,10.03229,-0.72977,50,5.69131,5.05871,-134.33895,-6.70804,-15.49677,32.57509,-14.07506,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,020853a0-a00a-11ec-9086-eb63b92df2bb,91.41987,8.2954,,8.92565,,,,2.69068,2.23677,0.09639,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:35:13.73,2022-03-09T18:35:13.7364040-06:00,2022-03-10T00:35:13.7364040Z,GroundBall,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,369a59bc-c530-40ca-a707-223373bbf65c,54.4936,-135.42419,16.28755,5.90698,-6.23913,-7.03753,-0.9069,5.57499,-7.74839,121.406309,2.69068,148.03074,-26.08723,5.68512,-1.32181,0.30605,-0.0685,0.01228,-0.00119,2.23677,19.08426,-15.61528,1.00781,-0.15803,0.02812,-0.00372,0.00054,-5E-05,0.09639,-39.20466,0.62781,0.53092,-0.23622,0.07434,-0.01933,0.00373,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-03-09,18:35:56.94,3,1,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Williams, Alec",1000081941,Left,TAR_TEX,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.7868,-1.634477,-2.517431,2287.309401,237.418713,2:00,5.74379,1.4799,5.91983,-20.2417,14.22272,20.2517,2.53825,0.82976,81.65099,-5.477087,1.117771,0.422529,,,,,,,,,,,,-11.23445,8.19485,-1.28982,50,5.60141,4.91058,-131.5632,-4.38996,-19.33323,32.63825,-18.07166,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,1bc0cca0-a00a-11ec-9086-eb63b92df2bb,89.20669,,,9.13581,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:35:56.94,2022-03-09T18:35:56.9478216-06:00,2022-03-10T00:35:56.9478216Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,688ebd8e-3a05-464e-a717-4795aa9d3d2d,54.58089,-132.69476,16.31913,5.74275,-3.76343,-9.03583,-1.47169,5.58086,-9.66661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-03-09,18:36:22.68,3,2,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Williams, Alec",1000081941,Left,TAR_TEX,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,Bunt,Single,0,0,,83.05527,-0.459886,-3.599859,2262.96397,252.902133,2:30,5.64511,1.14895,5.75067,-33.26734,7.63666,20.47344,2.44383,-0.50079,75.84604,-6.617128,0.060291,0.460314,,,,,,,,,,,,-11.52839,4.39607,-0.86262,50,5.58645,6.77048,-120.44562,-2.05377,-16.88275,24.0701,-25.73624,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,2b2cdbc0-a00a-11ec-9086-eb63b92df2bb,81.88419,,,7.20923,,,,,,,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:36:22.68,2022-03-09T18:36:22.6816584-06:00,2022-03-10T00:36:22.6816584Z,,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,7e8a3ca1-9547-4171-bd03-1683de4197c1,54.75265,-121.39169,12.03505,5.64729,-1.04222,-12.86812,-1.14177,7.43405,-8.44138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-09,18:37:13.07,4,1,"Curtis, Khristian",1000074563,Right,TEX_AGG,"Dobrinski, Carter",1000055849,Right,TAR_TEX,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,2,0,,91.27439,-2.682739,-2.785015,2279.565138,234.250597,1:45,5.75801,1.24476,6.0697,-20.09639,13.45753,17.1267,1.59588,0.09263,83.15601,-6.471056,0.297611,0.416911,97.32815,-12.242233,11.863973,,,,,7.86828,4.39218,10.390467,0.050418,-9.67949,8.06469,-1.03798,50,5.53903,5.72123,-132.34235,-6.83644,-17.07301,29.68502,-17.9493,TEX_AGG,TAR_TEX,OlsenField,D1,SOCON,20220309-OlsenField-1,492c7450-a00a-11ec-9086-eb63b92df2bb,90.40891,1.52765,,8.11838,,,,0.84912,1.52765,-0.02837,56c60fde-2e44-4617-b1fe-c67e7454fd1b,2022-03-10,00:37:13.07,2022-03-09T18:37:13.0780744-06:00,2022-03-10T00:37:13.0780744Z,GroundBall,v3,,5068,,"Claunch, Troy",1000067847,Right,TEX_AGG,6b5777f7-b732-43e2-8a20-7e74bd304356,54.43245,-133.33286,14.84251,5.75715,-6.23752,-8.97465,-1.23839,6.29091,-8.5365,180,0.84799,136.66133,,,,,,,,1.5279,-30.29994,,,,,,,,-0.02861,28.70933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
