PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-17,16:04:46.20,1,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Glasser, Phillip",1000054169,Right,IU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.05454,-2.485888,-1.864317,2323.390686,196.287035,12:30,6.41788,1.90257,5.52958,-11.69512,20.24741,5.56524,3.11672,0.62291,85.33533,-4.767279,-0.873003,0.406777,,,,,,,,,,,,-3.39138,11.32879,-1.74422,50,6.19418,4.20521,-137.54739,-6.2847,-6.38715,35.32549,-10.83797,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,179e3d50-af0f-11ed-bf35-87ff4352cd71,92.66124,,,9.71921,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:04:46.20,2023-02-17T16:04:46.2020000-06:00,2023-02-17T22:04:46.2020000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,5c6e714b-67e0-436d-a7d9-3f87d1bbdd3a,54.96582,-138.81688,17.66275,6.41304,-5.89521,-5.41898,-1.89947,4.43474,-3.19357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-17,16:04:59.13,1,2,"Allsup, Chase",1000112387,Right,AUB_TIG,"Glasser, Phillip",1000054169,Right,IU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.72498,-3.467488,-2.751206,2276.663849,202.258536,12:45,6.39293,1.99688,5.44499,-11.40438,20.08903,7.75701,2.18822,0.06535,86.47366,-5.675369,-1.372948,0.403907,,,,,,,,,,,,-4.71378,11.46339,-1.75895,50,6.07828,6.26731,-138.39214,-8.71033,-9.04713,33.87038,-10.17239,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,1f56dcf0-af0f-11ed-bf35-87ff4352cd71,93.31964,,,9.25132,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:04:59.13,2023-02-17T16:04:59.1320000-06:00,2023-02-17T22:04:59.1320000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,c94936da-c270-4ace-99bc-986b7f27eaad,55.05154,-139.62299,16.93519,6.38809,-8.34067,-5.08619,-1.99267,6.59609,-4.52356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-17,16:05:13.11,1,3,"Allsup, Chase",1000112387,Right,AUB_TIG,"Glasser, Phillip",1000054169,Right,IU,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.22233,-0.024565,-1.676327,2212.029059,198.753246,12:45,6.22029,2.27686,5.37402,-10.93186,20.85584,6.70115,5.28626,1.26321,85.75702,-2.164008,-0.486075,0.40579,,,,,,,,,,,,-3.84217,10.73323,-2.13135,50,6.21071,3.70268,-137.9693,-0.34351,-7.32282,33.9112,-11.71734,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,27a8af50-af0f-11ed-bf35-87ff4352cd71,92.88664,,,9.46531,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:05:13.11,2023-02-17T16:05:13.1140000-06:00,2023-02-17T22:05:13.1140000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,60cfd570-1dd3-4605-bd4b-14926d2e70eb,55.12156,-139.22243,16.9556,6.2154,0.08948,-5.85867,-2.27317,3.97328,-3.66141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-17,16:05:31.31,1,4,"Allsup, Chase",1000112387,Right,AUB_TIG,"Glasser, Phillip",1000054169,Right,IU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.18983,-1.292049,-3.223877,2201.210243,194.386032,12:30,6.38284,2.01073,5.38457,-8.9741,22.68072,5.54559,4.42176,-0.55226,86.34753,-3.067022,-2.240776,0.404941,,,,,,,,,,,,-3.69016,12.01591,-1.72607,50,6.26108,7.49117,-137.85349,-3.31364,-7.0736,31.74885,-9.14093,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,32857250-af0f-11ed-bf35-87ff4352cd71,93.08137,,,8.84229,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:05:31.31,2023-02-17T16:05:31.3160000-06:00,2023-02-17T22:05:31.3160000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,b9bb53f4-2d72-4a9b-bac0-ac3bfd8b8dae,55.11261,-139.02598,15.87443,6.37722,-2.97606,-4.57046,-2.00755,7.7524,-3.5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-17,16:05:49.17,1,5,"Allsup, Chase",1000112387,Right,AUB_TIG,"Glasser, Phillip",1000054169,Right,IU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.99015,-2.273872,-2.74096,2258.909873,201.601321,12:45,6.33582,2.10823,5.34649,-9.4478,21.47556,8.1202,3.41199,0.21186,87.82424,-4.110593,-1.301019,0.400235,,,,,,,,,,,,-4.77284,11.63229,-1.86702,50,6.12416,6.26088,-139.13495,-5.7783,-9.39861,29.88444,-9.26785,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,3d3ab020-af0f-11ed-bf35-87ff4352cd71,94.17581,,,8.16592,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:05:49.17,2023-02-17T16:05:49.1760000-06:00,2023-02-17T22:05:49.1760000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,042fbad9-d4e9-47c6-9278-8215ad0b33fd,55.15255,-140.23728,14.94222,6.331,-5.43644,-4.63392,-2.10435,6.60756,-4.6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.87322,2.716517,1.701478,1.015039,-1.88164,3.17072,-0.13949,-5.53498,6.27545,6.37316,63.88957,9.66119,60.89789,-5.3048,75.18416,-6.82748,6.31058,15.20587,-11.71468,6.42213,55.67023,-1.95385,High,High,High,,,High,Medium,Medium
6,2023-02-17,16:06:16.51,2,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Jessee, Hunter",1000051035,Left,IU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.85864,-2.716062,-2.193158,2183.481166,206.578536,1:00,6.39978,2.07009,5.45419,-9.0593,22.00718,10.49209,3.09844,0.89031,87.20709,-4.497876,-0.327427,0.40116,,,,,,,,,,,,-5.85878,12.10886,-1.88377,50,6.15387,4.80358,-138.88332,-6.80463,-11.42082,31.67123,-8.56955,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,4d8845a0-af0f-11ed-bf35-87ff4352cd71,93.9587,,,8.65155,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:06:16.51,2023-02-17T16:06:16.5170000-06:00,2023-02-17T22:06:16.5170000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,aa0deca2-56c9-4846-95ee-3eb5b903c5d6,55.04397,-140.02883,15.83561,6.39438,-6.49468,-4.28477,-2.06498,5.21665,-5.71041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-17,16:06:29.80,2,2,"Allsup, Chase",1000112387,Right,AUB_TIG,"Jessee, Hunter",1000051035,Left,IU,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.09492,-2.377021,-3.09749,2074.048824,202.060653,12:45,6.32637,2.04321,5.27687,-8.52611,23.39734,9.03552,3.37872,-0.11596,86.14455,-4.072557,-1.498255,0.406655,,,,,,,,,,,,-5.39051,12.66764,-1.76689,50,6.10315,6.9972,-137.61496,-5.90342,-10.28093,32.09098,-8.01406,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,555b2400-af0f-11ed-bf35-87ff4352cd71,92.68894,,,8.95037,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:06:29.80,2023-02-17T16:06:29.8030000-06:00,2023-02-17T22:06:29.8030000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,98cb5aea-c539-4ec5-8313-22b4c1282356,55.22063,-138.82704,16.04549,6.32041,-5.60073,-4.00703,-2.03851,7.38551,-5.14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-17,16:06:43.55,2,3,"Allsup, Chase",1000112387,Right,AUB_TIG,"Jessee, Hunter",1000051035,Left,IU,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.92156,-1.65009,-2.418922,2174.137909,203.309337,12:45,6.35873,2.13635,5.31668,-9.94166,20.35785,8.3704,3.97976,0.56227,88.74488,-3.570164,-0.934723,0.396177,,,,,,,,,,,,-4.81705,10.90197,-1.92328,50,6.20222,5.52491,-140.59153,-4.3391,-9.69299,30.27694,-10.23684,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,5ddc1cb0-af0f-11ed-bf35-87ff4352cd71,95.14042,,,8.17668,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:06:43.55,2023-02-17T16:06:43.5590000-06:00,2023-02-17T22:06:43.5590000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,9e743f0e-4ec4-4d3c-9b75-ec9bfcff5761,55.18307,-141.70333,15.13847,6.35466,-3.96319,-5.11842,-2.1327,5.88084,-4.84649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-17,16:06:56.95,2,4,"Allsup, Chase",1000112387,Right,AUB_TIG,"Jessee, Hunter",1000051035,Left,IU,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.35336,4.636812,-0.810082,,30.26509,7:00,6.0241,2.16576,5.32386,-71.85543,-16.85847,-10.86508,4.39739,0.50009,66.0888,-8.383045,-2.737946,0.533753,,,,,,,,,,,,5.22634,-9.38532,-2.08412,50,6.39168,1.87898,-104.79368,6.16109,5.77754,18.68293,-42.54919,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,65a55e20-af0f-11ed-bf35-87ff4352cd71,70.61769,,,6.26456,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:06:56.95,2023-02-17T16:06:56.9520000-06:00,2023-02-17T22:06:56.9520000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,17283126-ffca-4af7-95fe-e06d4c28c524,55.18238,-105.71357,9.34146,6.03676,8.25608,-21.2746,-2.16963,1.59451,2.88877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-17,16:07:11.25,2,5,"Allsup, Chase",1000112387,Right,AUB_TIG,"Jessee, Hunter",1000051035,Left,IU,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.20175,-1.762238,-1.267457,2180.671015,212.29421,1:00,6.33921,2.16031,5.23742,-12.4319,19.25989,11.51418,3.64592,1.92831,86.64089,-4.137547,0.773633,0.405177,,,,,,,,,,,,-6.07646,10.40489,-2.05249,50,6.16822,2.48255,-138.043,-4.63665,-11.70043,31.33457,-12.1391,AUB_TIG,IU,PlainsmanPark,D1,SEC,20230217-PlainsmanPark-1,6e0c6630-af0f-11ed-bf35-87ff4352cd71,93.02707,,,8.56086,,,,,,,6b2b331e-0a6b-41d4-a08b-70c944a78f57,2023-02-17,22:07:11.25,2023-02-17T16:07:11.2550000-06:00,2023-02-17T22:07:11.2550000Z,,v3,471236,4866,17 February 2023 19:00-indiana@auburn,"LaRue, Nate",1000016842,Right,AUB_TIG,fbb6ff0a-0d8e-4793-af3e-0c5180992002,55.26097,-139.23207,15.66729,6.33542,-4.17599,-6.06955,-2.15512,2.92655,-5.85022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
