PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-28,16:02:18.92,1,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Preece, Ryley",1000098131,Left,MOR_EAG,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.77847,-0.331611,-0.337276,1953.059081,235.060615,1:45,6.03993,1.9721,5.79422,-21.11926,9.63764,12.60879,3.97153,2.7091,87.78423,-4.250975,1.922228,0.399156,,,,,,,,,,,,-6.49252,5.26772,-1.95181,50,5.99991,0.23961,-137.89538,-1.55944,-12.68071,26.53863,-21.88556,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,306799e0-b7ab-11ed-94e0-b93d982aecea,94.43034,,,6.99424,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:02:18.92,2023-02-28T16:02:18.9201156-05:00,2023-02-28T21:02:18.9201156Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,ea188aae-b281-49e1-ba97-d02163de3a96,54.70539,-138.798,13.26931,6.04029,-0.81508,-10.94278,-1.9673,0.67091,-6.34035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-28,16:02:32.10,1,2,"Smith, Travis",1000112342,Right,KEN_WIL,"Preece, Ryley",1000098131,Left,MOR_EAG,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.24391,-3.427863,-3.545176,2195.533149,233.750254,1:45,5.84407,1.84621,5.80088,-18.96725,12.88599,16.11237,1.0654,-0.11255,85.90627,-6.981119,-0.662625,0.406208,,,,,,,,,,,,-9.23174,7.88445,-1.56437,50,5.55043,7.71973,-136.39355,-8.8269,-17.3259,31.03848,-17.37669,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,381f9d40-b7ab-11ed-94e0-b93d982aecea,92.79102,,,8.33764,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:02:32.10,2023-02-28T16:02:32.1091844-05:00,2023-02-28T21:02:32.1091844Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,83ea20bc-705d-456e-8bff-7db20bd42e53,54.69746,-137.45837,15.51924,5.84302,-8.23076,-8.68835,-1.8394,8.31412,-8.66295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-28,16:02:44.29,1,3,"Smith, Travis",1000112342,Right,KEN_WIL,"Preece, Ryley",1000098131,Left,MOR_EAG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.81006,-3.255133,-3.225558,2341.612659,218.04304,1:15,6.07777,1.73314,5.78429,-19.57501,12.05005,8.73,1.41002,-0.54345,86.95204,-6.880989,-1.664202,0.40475,,,,,,,,,,,,-5.25445,7.22126,-1.47244,50,5.79692,7.28621,-136.05445,-8.43251,-9.98083,26.11199,-18.4573,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,3f688b20-b7ab-11ed-94e0-b93d982aecea,93.12518,,,6.85802,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:02:44.29,2023-02-28T16:02:44.2939652-05:00,2023-02-28T21:02:44.2939652Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,7f68e867-6b3f-4319-bfe5-828a497bf94a,54.71614,-136.95659,13.05599,6.07723,-7.79482,-9.22865,-1.73012,7.63104,-4.99041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-28,16:03:01.51,1,4,"Smith, Travis",1000112342,Right,KEN_WIL,"Preece, Ryley",1000098131,Left,MOR_EAG,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.70466,-3.894055,-3.82475,2215.290477,216.334283,1:15,5.94163,1.68264,5.84263,-14.30524,17.04965,11.80111,1.11697,-0.8937,86.76048,-6.606202,-1.714746,0.403018,,,,,,,,,,,,-7.07193,10.07686,-1.37787,50,5.61512,8.63331,-137.03408,-9.78785,-13.48471,29.49245,-12.95956,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,49af0190-b7ab-11ed-94e0-b93d982aecea,93.52553,,,7.94418,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:03:01.51,2023-02-28T16:03:01.5156996-05:00,2023-02-28T21:03:01.5156996Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,3b130354-a0c3-4aea-ba0b-03edcc6d2cde,54.65634,-138.03258,14.74623,5.93907,-9.34909,-6.47978,-1.67789,9.08985,-6.74235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-28,16:03:15.66,1,5,"Smith, Travis",1000112342,Right,KEN_WIL,"Preece, Ryley",1000098131,Left,MOR_EAG,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.70783,-3.438968,-3.346371,2330.732722,206.302512,1:00,6.04075,1.49078,5.69443,-17.45355,14.47595,6.69083,1.3721,-1.07376,86.53686,-6.688708,-2.152424,0.406694,,,,,,,,,,,,-4.28504,8.54233,-1.21385,50,5.74028,7.64992,-135.81064,-8.77153,-8.07897,27.10473,-16.06844,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,522747b0-b7ab-11ed-94e0-b93d982aecea,92.68016,,,7.17097,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:03:15.66,2023-02-28T16:03:15.6674308-05:00,2023-02-28T21:03:15.6674308Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,33e03dbf-ad62-4fe9-989e-19fb9cb96054,54.80637,-136.76652,13.55237,6.03962,-8.20486,-8.03422,-1.48865,7.93483,-4.03949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-28,16:04:06.76,2,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Feltner, Jackson",1000098137,Right,MOR_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.54325,0.055078,-2.573584,2119.240618,217.028058,1:15,6.07655,1.75663,5.90779,-16.66828,16.01139,11.28481,4.7387,0.30663,84.22146,-3.118957,-0.550366,0.411443,,,,,,,,,,,,-6.46705,8.48091,-1.55618,50,6.0714,5.53213,-134.29968,-0.37647,-11.79125,29.54475,-16.71094,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,7088af50-b7ab-11ed-94e0-b93d982aecea,91.61025,,,8.32178,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:04:06.76,2023-02-28T16:04:06.7619076-05:00,2023-02-28T21:04:06.7619076Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,3b5eee44-eace-4d19-b18f-8e43f81fc86f,54.58906,-135.30546,14.77237,6.07453,0.19242,-8.35547,-1.75134,5.93353,-5.89563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-28,16:04:46.12,2,2,"Smith, Travis",1000112342,Right,KEN_WIL,"Feltner, Jackson",1000098137,Right,MOR_EAG,Undefined,1,Top,0,1,0,Fastball,Slider,BallCalled,Undefined,Undefined,StolenBase,0,0,,83.0815,-3.288446,-3.390017,2346.887186,63.718566,8:00,6.36531,1.51382,5.5581,-43.62156,-2.26331,-7.2152,-0.35099,-2.25845,76.80845,-11.146832,-4.677597,0.462863,,,,,,,,,,,,2.71126,0.10965,-1.21569,50,6.05134,7.40705,-120.27683,-8.43865,3.95152,24.43544,-32.01425,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,880e1bb0-b7ab-11ed-94e0-b93d982aecea,81.43324,,,6.27305,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:04:46.12,2023-02-28T16:04:46.1270000-05:00,2023-02-28T21:04:46.1270000Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,4f39df2d-3df5-46f6-b91d-cb4ac4b90e23,54.94291,-121.27688,12.21772,6.36989,-7.12843,-16.00712,-1.51552,7.24533,1.97576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.378,,,1.111987,,,,4.07624,5.7339,3.92683,127.28087,4.9201,-1.41787,4.36831,123.22783,-11.30104,5.65911,8.71779,-8.4627,3.77833,-9.51376,4.29711,High,High,High,,,High,High,High
8,2023-02-28,16:05:15.88,2,3,"Smith, Travis",1000112342,Right,KEN_WIL,"Feltner, Jackson",1000098137,Right,MOR_EAG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.21202,-3.637979,-3.732962,2334.91927,197.431575,12:30,6.16179,1.86797,5.79287,-18.26036,14.81548,4.32807,1.24427,-1.2487,84.76172,-7.046467,-2.959928,0.41393,,,,,,,,,,,,-3.19626,8.84445,-1.56303,50,5.85053,8.51698,-133.46109,-9.09922,-5.79032,27.53658,-16.15152,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,99cd90b0-b7ab-11ed-94e0-b93d982aecea,91.05992,,,7.45031,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:05:15.88,2023-02-28T16:05:15.8827268-05:00,2023-02-28T21:05:15.8827268Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,1717b559-bc5a-40b5-b661-fc184b1fdf10,54.70508,-134.42837,13.76829,6.16019,-8.53186,-8.07576,-1.86578,8.72037,-2.89516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-28,16:05:33.72,2,4,"Smith, Travis",1000112342,Right,KEN_WIL,"Feltner, Jackson",1000098137,Right,MOR_EAG,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.03515,-2.663546,-4.462175,2233.024363,191.85527,12:30,6.09783,1.97023,5.74937,-20.51863,11.96473,2.3063,1.89894,-2.00012,85.67463,-6.466922,-4.051359,0.410206,,,,,,,,,,,,-2.3363,7.09595,-1.60043,50,5.86333,10.40769,-134.67971,-6.99518,-4.3185,27.50624,-19.05775,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,a4635fa0-b7ab-11ed-94e0-b93d982aecea,91.8866,,,7.36052,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:05:33.72,2023-02-28T16:05:33.7223940-05:00,2023-02-28T21:05:33.7223940Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,a56baecb-e4b0-479e-a7fa-6005cf5b1fde,54.74911,-135.64617,13.75312,6.09735,-6.32556,-9.52887,-1.96878,10.55943,-2.15925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-28,16:06:55.39,3,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Ferry, Jacob",1000075130,Left,MOR_EAG,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.46271,-0.604768,-0.578586,2352.299294,78.621184,8:30,6.31385,1.84609,5.44396,-41.23384,0.10579,-5.22004,2.3114,0.86934,76.58317,-8.09561,-1.509423,0.462759,,,,,,,,,,,,2.49024,0.56587,-1.79127,50,6.23179,1.42292,-119.88485,-2.72953,3.66041,21.00495,-31.34226,KEN_WIL,MOR_EAG,UKentucky,D1,SEC,20230228-UKentucky-1,d5157fc0-b7ab-11ed-94e0-b93d982aecea,81.45156,,,5.87954,,,,,,,cd23e283-90a4-4e63-9e46-0f1daac84227,2023-02-28,21:06:55.39,2023-02-28T16:06:55.3900292-05:00,2023-02-28T21:06:55.3900292Z,,v3,471331,471366,28 February 2023 16:00-morehead@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,1b65dbac-66c1-42fd-ba12-ef22f7fc0994,55.05639,-120.76752,10.50248,6.31882,-1.41245,-15.67113,-1.84783,1.2691,1.83021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
