PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-05-25,16:32:07.88,1,1,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Crews, Dylan",686611,Right,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.42601,-2.346147,4.148394,2416.009615,144.790721,10:45,5.81,-2.98151,6.50535,-11.52075,18.55202,-12.41426,2.68973,-0.20189,87.17677,-4.596745,1.903114,0.394692,,,,,,,,,,,,7.57977,10.61449,2.69576,50,5.63989,-9.50437,-138.33077,-5.94374,14.71138,30.37754,-11.57267,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,9a2fd500-fb43-11ed-b341-35830d420924,95.49841,,,8.24924,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:32:07.88,2023-05-25T16:32:07.8817200-05:00,2023-05-25T21:32:07.8817200Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,b79ceae3-0c72-4b6c-9b5f-5efbab3e301d,53.99521,-139.20536,15.18877,5.80622,-5.61055,-5.78634,2.97549,-9.92792,7.35569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-05-25,16:32:21.57,1,2,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Crews, Dylan",686611,Right,LSU_TIG,Undefined,1,Top,0,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.33635,0.808097,1.840742,2481.540943,312.751904,4:30,5.67625,-2.9061,5.72773,-47.36294,-5.7402,7.63811,2.48243,-0.55455,75.44268,-7.855703,3.207923,0.464341,,,,,,,,,,,,-3.33457,-2.71662,2.74775,50,5.71476,-4.14908,-119.54103,0.03953,-4.80165,24.09269,-36.08589,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,a261ea60-fb43-11ed-b341-35830d420924,81.17412,,,6.89367,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:32:21.57,2023-05-25T16:32:21.5790512-05:00,2023-05-25T21:32:21.5790512Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,f77c99cf-0525-46d0-9c95-a87016d8f262,54.77466,-120.49948,12.04634,5.68463,1.47511,-18.04294,2.90901,-3.95806,-2.40082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-05-25,16:32:34.38,1,3,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Crews, Dylan",686611,Right,LSU_TIG,Undefined,1,Top,0,0,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.40982,-1.037345,3.824591,2405.687154,145.082562,10:45,5.53121,-3.24351,6.64364,-15.18418,14.94135,-9.71461,3.31405,-0.5468,86.44805,-3.975141,2.062026,0.395038,,,,,,,,,,,,6.22205,8.46138,2.98837,50,5.45449,-8.84101,-138.36106,-2.90634,11.96655,33.14049,-15.90071,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,aa033170-fb43-11ed-b341-35830d420924,95.41473,,,8.96177,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:32:34.38,2023-05-25T16:32:34.3817648-05:00,2023-05-25T21:32:34.3817648Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,7989375a-f369-4da6-9f4d-d8346ae7e039,53.85555,-139.28148,16.57024,5.52908,-2.46472,-7.95036,3.23853,-9.17337,5.98327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-05-25,16:33:02.87,2,1,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Pearson, Josh",,Left,LSU_TIG,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7459,-0.532762,3.580347,2544.140309,253.053071,2:30,5.7493,-2.72176,6.16721,-33.67435,3.80169,8.95985,2.45001,1.33645,79.29687,-6.747659,5.191048,0.440604,,,,,,,,,,,,-3.70362,2.44906,2.44564,50,5.69166,-8.13487,-124.49332,-2.24504,-5.84494,23.68548,-28.30906,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,bafb10b0-fb43-11ed-b341-35830d420924,85.5472,,,6.44903,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:33:02.87,2023-05-25T16:33:02.8798896-05:00,2023-05-25T21:33:02.8798896Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,cf5c5d3d-300f-470b-b3ac-00f6fe803aea,54.3353,-125.31542,11.84274,5.75253,-1.26247,-14.15453,2.72448,-7.932,-2.92247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-05-25,16:33:15.56,2,2,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Pearson, Josh",,Left,LSU_TIG,Undefined,1,Top,1,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.96503,-1.290313,4.645127,2410.594482,145.946521,10:45,5.73173,-3.03011,6.71515,-11.14174,18.35619,-11.77674,3.61961,0.24421,87.59713,-3.480447,2.509391,0.390901,,,,,,,,,,,,7.46241,10.3078,2.72574,50,5.64097,-10.82336,-139.15581,-3.38195,14.65137,30.85072,-11.93612,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,c287be50-fb43-11ed-b341-35830d420924,96.42445,,,8.3679,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:33:15.56,2023-05-25T16:33:15.5668400-05:00,2023-05-25T21:33:15.5668400Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,11da8c81-d1c5-4efd-ba5c-1c3c7f0ee583,53.78605,-139.99266,15.42536,5.72832,-3.05817,-5.96806,3.02472,-11.22079,7.32569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-05-25,16:33:29.99,2,3,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Pearson, Josh",,Left,LSU_TIG,Undefined,1,Top,1,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.326,-3.479504,5.582915,2288.14057,131.260518,10:30,5.57955,-3.22082,6.47296,-14.84658,14.07434,-15.04552,1.12763,0.66894,89.56388,-6.304956,2.871358,0.387059,,,,,,,,,,,,9.36087,8.54398,2.83287,50,5.32619,-13.14462,-140.78346,-9.03764,18.94147,29.50169,-14.88555,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,cb1c17f0-fb43-11ed-b341-35830d420924,97.38162,,,7.76212,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:33:29.99,2023-05-25T16:33:29.9910064-05:00,2023-05-25T21:33:29.9910064Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,2e319127-4649-48a9-8bda-d6b44b8c1cb1,54.03114,-141.62568,14.75084,5.57813,-8.61269,-7.44278,3.21585,-13.68536,9.47074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-05-25,16:33:44.17,2,4,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Pearson, Josh",,Left,LSU_TIG,Undefined,1,Top,1,2,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.66741,-2.597769,5.400767,2401.509887,147.288716,11:00,5.5076,-3.14691,6.86821,-12.48111,17.20084,-10.42548,2.08749,0.92166,87.24594,-5.035882,3.50848,0.392119,,,,,,,,,,,,7.06193,10.16292,2.80589,50,5.33663,-12.68169,-138.47298,-6.59117,13.6925,31.32605,-12.46898,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,d3982ea0-fb43-11ed-b341-35830d420924,96.12506,,,8.42147,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:33:44.17,2023-05-25T16:33:44.1700784-05:00,2023-05-25T21:33:44.1700784Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,c813127c-b25b-43f7-9e47-5754325c51df,53.63342,-139.29252,15.66303,5.5048,-6.26496,-6.23449,3.14235,-13.03992,6.84625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-05-25,16:33:59.30,2,5,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Pearson, Josh",,Left,LSU_TIG,Undefined,1,Top,1,2,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.85382,-0.528366,2.503642,2528.553855,302.01669,4:00,5.61999,-3.08351,5.86226,-41.06309,-1.02874,3.73024,1.70671,-0.44518,76.73284,-8.069665,3.172762,0.455395,,,,,,,,,,,,-1.1598,0.04291,2.87817,50,5.55337,-5.46954,-121.67237,-2.52088,-1.72707,25.35673,-32.11017,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,dca0cde0-fb43-11ed-b341-35830d420924,82.76876,,,7.12098,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:33:59.30,2023-05-25T16:33:59.3040816-05:00,2023-05-25T21:33:59.3040816Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,637b3a22-5c80-4c2b-88c8-db9319de67fd,54.63887,-122.63531,12.67836,5.62595,-1.30148,-16.05509,3.08463,-5.40395,-0.86354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-05-25,16:34:24.55,3,1,"Smith, Hagen",1000072172,Left,ARK_RAZ,"White, Tommy",1000034043,Right,LSU_TIG,Undefined,1,Top,2,0,0,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,96.75026,-2.197137,4.405768,2372.401498,138.714975,10:30,5.55407,-3.22807,6.55189,-12.45469,16.89643,-13.97623,2.49442,-0.34465,87.96388,-4.623931,1.876627,0.389927,,,,,,,,,,,,8.60666,9.7928,2.92864,50,5.39615,-10.21515,-140.19615,-5.70444,17.06112,32.87716,-12.76154,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,eb9fea60-fb43-11ed-b341-35830d420924,96.66526,,,8.78638,,,,,,,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:34:24.55,2023-05-25T16:34:24.5511600-05:00,2023-05-25T21:34:24.5511600Z,,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,ac833d67-4731-4f3c-8c06-31b3149202fe,53.94966,-141.11934,16.43858,5.5513,-5.3461,-6.38077,3.2222,-10.69423,8.53056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-05-25,16:34:40.14,3,2,"Smith, Hagen",1000072172,Left,ARK_RAZ,"White, Tommy",1000034043,Right,LSU_TIG,Undefined,1,Top,2,0,1,Undefined,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,90.00227,-0.773053,2.995973,2316.344539,195.98403,12:30,5.7363,-2.82573,6.57407,-25.87722,7.39741,1.85673,2.87026,0.07767,83.37676,-5.613529,3.332839,0.415172,70.10233,58.630297,135.495285,4608.704536,-84.82839,79.96088,70.02921,189.389,99.27812,141.851721,4.15046,-0.2415,4.36536,2.61903,50,5.67206,-6.91918,-130.87959,-2.55301,-0.42342,24.81851,-24.52012,ARK_RAZ,LSU_TIG,HooverMetropolitan,D1,SEC,20230525-HooverMetropolitan-3,f4f486c0-fb43-11ed-b341-35830d420924,90.78756,80.97964,,6.62551,,,,1.51821,2.82341,-0.097,f8fcbea1-ae07-4f5b-8954-f6d48f5fba0e,2023-05-25,21:34:40.14,2023-05-25T16:34:40.1491888-05:00,2023-05-25T21:34:40.1491888Z,Popup,v3,3375,5323,,"Rowland, Parker",1000050281,Right,ARK_RAZ,404b1782-01dc-417c-9400-5b61a346e6b0,53.92927,-131.62258,12.40926,5.7375,-1.81894,-12.26006,2.82598,-6.9065,-0.21171,344.074201,1.51744,-38.15782,-3.39185,1.95204,-0.35427,-0.04033,0.04309,-0.00933,0.00067,2.82556,87.72595,-29.5412,3.15997,-0.00333,-0.28034,0.09615,-0.014,0.00077,-0.09571,37.48544,-2.68883,-0.09764,0.23095,-0.08687,0.01118,0.00029,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
