PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-20,15:31:13.70,1,1,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75164,-3.947776,-1.539409,2350.792955,219.10744,1:15,6.43889,0.34167,5.67906,-14.23146,19.91308,15.32611,1.56572,0.18349,83.4763,-6.641118,1.200423,0.420564,,,,,,,,,,,,-8.18532,11.47623,-0.22172,50,6.09683,2.86287,-131.55835,-9.49999,-14.42841,26.39737,-11.94467,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,5f91bf70-d037-11ee-b34b-471296e66ad7,89.62353,,,7.27534,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:31:13.70,2024-02-20T15:31:13.7027410-06:00,2024-02-20T21:31:13.7027410Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,4eaad9d8-e9fe-4a1b-b1d1-2292c7490066,54.81963,-132.52188,13.19868,6.43563,-9.064,-5.97233,-0.33583,3.38952,-7.21421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-20,15:31:27.55,1,2,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.15602,-3.640871,-1.79492,2355.602513,211.606164,1:00,6.49257,0.30063,5.54694,-13.07843,20.93663,12.23012,1.99409,-0.35808,83.72882,-6.129441,0.38522,0.419766,,,,,,,,,,,,-6.63717,11.85292,-0.15346,50,6.1684,3.58899,-132.1273,-8.78842,-11.79929,26.66165,-11.10238,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,67d36530-d037-11ee-b34b-471296e66ad7,89.79401,,,7.4272,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:31:27.55,2024-02-20T15:31:27.5577682-06:00,2024-02-20T21:31:27.5577682Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,a3a5733e-6d03-4e00-8265-c9f9aac02f03,54.95099,-133.1226,13.33082,6.48874,-8.37396,-5.55119,-0.29566,4.02947,-5.89965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-20,15:31:41.26,1,3,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.44842,-2.131874,-1.816483,2517.481775,169.662767,11:45,6.38796,0.39135,5.2994,-33.08427,6.555,-0.99445,1.62759,-1.39742,78.55391,-8.134859,-1.993166,0.453142,,,,,,,,,,,,0.06055,4.15626,-0.22548,50,6.16991,3.93063,-122.61323,-5.7634,0.09334,21.32086,-25.76533,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,70046920-d037-11ee-b34b-471296e66ad7,83.18022,,,5.8945,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:31:41.26,2024-02-20T15:31:41.2699474-06:00,2024-02-20T21:31:41.2699474Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,be8f7fd8-fc92-42f9-b59e-ff87c96ba6b3,55.19939,-123.51403,10.66043,6.39042,-4.67482,-12.88267,-0.39147,3.92669,0.04667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-20,15:31:56.30,1,4,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.81162,-5.006297,-1.964102,2336.573463,222.2073,1:30,6.52226,0.39763,5.526,-16.38643,18.21194,15.4808,0.46187,-0.14917,83.20054,-8.072521,0.795898,0.42335,,,,,,,,,,,,-8.38902,10.94879,-0.23759,50,6.07513,3.81562,-131.32776,-12.03367,-14.65122,27.80942,-13.05227,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,78fefea0-d037-11ee-b34b-471296e66ad7,89.03386,,,7.61107,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:31:56.30,2024-02-20T15:31:56.3013970-06:00,2024-02-20T21:31:56.3013970Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,1cbf1a2b-3db3-41c5-baca-6ca223d3bae5,54.97253,-132.37653,13.90471,6.51968,-11.54143,-6.52614,-0.3919,4.36816,-7.32561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-20,15:32:12.94,1,5,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.76672,-3.927827,-1.448161,2363.903272,217.880382,1:15,6.54578,0.42567,5.49216,-14.34572,20.28308,14.87977,1.6691,0.31068,82.87997,-6.649203,1.202689,0.423536,,,,,,,,,,,,-8.03835,11.76741,-0.30973,50,6.19231,2.67724,-131.48084,-9.4718,-14.02943,28.64986,-11.63624,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,82da5730-d037-11ee-b34b-471296e66ad7,88.99468,,,7.88675,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:32:12.94,2024-02-20T15:32:12.9441618-06:00,2024-02-20T21:32:12.9441618Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,7d099a3a-a553-4ef7-a27e-9341fd64464d,55.00777,-132.56755,14.32493,6.54321,-9.03043,-5.81812,-0.42137,3.20938,-7.01471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-20,15:32:34.83,1,6,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Abrams, Kohl",1000079974,Right,NCA_BUL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.42135,-0.633698,-0.757858,2264.613309,226.408636,1:30,6.48962,0.38554,5.33238,-17.7417,15.8528,15.46776,4.41651,0.96344,83.86146,-3.973587,1.989651,0.417163,,,,,,,,,,,,-7.90874,8.44634,-0.32833,50,6.42001,1.02859,-134.05069,-2.08686,-14.30195,30.64842,-16.89995,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,8fe6a460-d037-11ee-b34b-471296e66ad7,90.35425,,,8.55989,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:32:34.83,2024-02-20T15:32:34.8302162-06:00,2024-02-20T21:32:34.8302162Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,8f407673-ae8a-4fa3-9809-afd3af8be4de,55.16316,-135.22601,15.32421,6.48762,-1.43878,-8.44998,-0.37829,1.57704,-7.15098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-20,15:33:04.71,2,1,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Burnett, Robbie",1000119891,Left,NCA_BUL,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.29921,-1.439149,-0.054407,2330.092661,121.304011,10:00,6.42172,0.44324,5.68938,-37.9514,3.11461,-3.25547,1.91753,0.12124,76.60142,-8.36512,-0.637806,0.461225,,,,,,,,,,,,1.64441,2.30158,-0.43661,50,6.27685,0.24158,-119.66973,-4.28969,2.41297,20.52068,-28.79676,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,a1c31740-d037-11ee-b34b-471296e66ad7,81.72248,,,5.69779,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:33:04.71,2024-02-20T15:33:04.7164754-06:00,2024-02-20T21:33:04.7164754Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,32bd9397-6881-45b7-a4ab-e03931a7c0bb,54.81005,-120.49172,10.26034,6.42558,-3.13618,-14.39838,-0.44435,0.14493,1.20649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-20,15:33:43.56,2,2,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Burnett, Robbie",1000119891,Left,NCA_BUL,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.07579,-1.768577,0.159956,2584.22481,120.968527,10:00,6.4013,0.48954,5.68421,-37.28726,3.34213,-3.53465,1.64503,0.34408,76.7775,-8.586437,-0.473509,0.458766,,,,,,,,,,,,1.86047,2.49744,-0.50068,50,6.22875,-0.19957,-120.70373,-4.98368,2.75334,22.80703,-28.47805,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,b8e38040-d037-11ee-b34b-471296e66ad7,82.16045,,,6.29829,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:33:43.56,2024-02-20T15:33:43.5685202-06:00,2024-02-20T21:33:43.5685202Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,bbe1f32f-0d08-420b-bc63-b81bad5e9555,54.81583,-121.61028,11.40351,6.40434,-3.85172,-14.23903,-0.49057,-0.30901,1.37667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-20,15:34:09.01,2,3,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Burnett, Robbie",1000119891,Left,NCA_BUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.69041,-1.412432,0.491089,2306.985916,217.242131,1:15,6.63902,0.42783,5.18137,-16.27721,17.23056,12.26552,3.95335,1.91201,84.42369,-4.470857,2.66319,0.416624,,,,,,,,,,,,-5.93209,9.30284,-0.48299,50,6.49582,-1.74956,-134.42109,-3.87005,-10.82174,29.94108,-15.20308,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,c80ae540-d037-11ee-b34b-471296e66ad7,90.47109,,,8.26671,,,,,,,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:34:09.01,2024-02-20T15:34:09.0123602-06:00,2024-02-20T21:34:09.0123602Z,,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,bcb8a7db-e31f-45f3-8d53-b7ab66dfd55d,55.31438,-135.59965,14.97054,6.63638,-3.27161,-7.60154,-0.42251,-1.32359,-5.41087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-20,15:34:30.80,2,4,"Schaefer, Derek",1000072249,Right,TEN_VOL,"Burnett, Robbie",1000119891,Left,NCA_BUL,Undefined,1,Top,0,1,2,Splitter,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,82.71346,-1.892251,-0.630683,1998.660651,222.935853,1:30,6.30378,0.61318,5.9147,-25.01175,15.83891,13.51036,2.46258,1.15369,75.75152,-6.576496,1.797019,0.460014,74.64692,6.248727,27.912709,4094.871722,,,,72.73774,69.86801,28.754147,0.721568,-7.14544,9.06304,-0.57052,50,6.13789,0.80395,-120.11627,-4.70688,-10.41655,23.73937,-18.96198,TEN_VOL,NCA_BUL,LindseyNelsonStadium,D1,SEC,20240220-LindseyNelsonStadium-1,d50b72a0-d037-11ee-b34b-471296e66ad7,81.9376,4.08746,,6.96194,,,,1.74286,2.48988,-1.15322,921d2c62-2029-4e35-9145-0a039a7aced9,2024-02-20,21:34:30.80,2024-02-20T15:34:30.8073810-06:00,2024-02-20T21:34:30.8073810Z,GroundBall,v3,471459,1570,,"Taylor, Charlie",801405,Right,TEN_VOL,5b9f68ec-6ab7-4709-aa7d-c6212453399f,54.58362,-121.01877,11.86968,6.30313,-3.98601,-9.48099,-0.60861,1.19995,-5.20827,301.34478,1.74286,96.17067,-15.90302,2.93806,-1.50259,2.6235,-3.52759,2.47752,-0.70649,2.48988,11.9167,-22.85769,2.53259,-0.85507,1.05241,-1.33306,0.92744,-0.26338,-1.15322,50.94633,-0.52801,-1.29319,1.52612,-3.37987,4.68736,-3.36633,0.98025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
