PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-23,14:04:06.40,1,1,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Fox, Evan",1000122848,Right,SBU_SEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.27051,-1.285295,-2.932958,2360.753173,212.007601,1:00,6.09231,1.67605,6.03203,-13.72863,16.1315,9.52233,3.75618,-0.24902,88.33307,-3.904946,-1.222581,0.393294,,,,,,,,,,,,-5.63674,8.8976,-1.45155,50,5.98405,6.73053,-139.77395,-3.54957,-11.22183,29.63526,-14.46037,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,b3446a40-d286-11ee-88ef-a7f70ebfc360,95.83782,,,7.93745,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:04:06.40,2024-02-23T14:04:06.4041076-06:00,2024-02-23T20:04:06.4041076Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,a0ac548d-1a77-4b99-8848-c5395c738085,54.47025,-140.71856,14.81763,6.08984,-3.08866,-7.23018,-1.67178,7.08823,-5.61092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-23,14:04:22.40,1,2,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Fox, Evan",1000122848,Right,SBU_SEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.96019,-2.425123,-2.89331,2336.630032,213.932465,1:15,6.04514,1.62422,5.79524,-16.42749,13.99879,8.7852,2.41602,-0.33743,88.01095,-5.512714,-1.321749,0.397005,78.57798,-19.568937,-15.972265,,,,,7.42729,7.42729,-10.301768,0.054832,-5.2776,8.08788,-1.39134,50,5.83539,6.63755,-139.18646,-6.45687,-10.3916,30.15152,-16.24895,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,bcc39910-d286-11ee-88ef-a7f70ebfc360,94.94197,2.12158,,7.94924,,,,1.56963,2.12158,0.31408,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:04:22.40,2024-02-23T14:04:22.4056436-06:00,2024-02-23T20:04:22.4056436Z,GroundBall,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,8714ceee-0463-4ba0-9452-57c0231f30eb,54.70827,-140.20268,15.07576,6.04379,-5.90922,-8.12447,-1.62095,6.98779,-5.1958,180,1.56745,104.64553,,,,,,,,2.12239,-38.6924,,,,,,,,0.3147,-29.95181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2024-02-23,14:04:57.42,2,1,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.7204,-1.106936,-2.245996,3048.414709,81.310032,8:45,5.98754,1.91268,5.32449,-38.22345,-0.23492,-9.16512,1.76252,-0.95991,79.82466,-8.039654,-3.87365,0.443606,,,,,,,,,,,,3.96496,0.56201,-1.7025,50,5.85969,5.3368,-125.80975,-3.88571,6.35369,25.56863,-31.27345,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,d1b3b490-d286-11ee-88ef-a7f70ebfc360,84.96824,,,6.89573,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:04:57.42,2024-02-23T14:04:57.4219380-06:00,2024-02-23T20:04:57.4219380Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,eb4036fe-fe5f-4c18-8c34-96e41450dcca,55.1786,-126.85785,12.78432,5.9927,-2.60376,-15.63673,-1.91593,5.07636,3.17684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-23,14:05:15.28,2,2,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.11541,-1.019097,-2.176399,3144.877562,69.996666,8:15,6.34103,1.83876,5.18188,-45.17873,-4.12449,-14.2915,1.61644,-1.40105,77.72392,-9.124129,-4.709198,0.461159,,,,,,,,,,,,6.63555,-1.48697,-1.62496,50,6.21141,5.18692,-120.77588,-3.84288,9.9223,20.79869,-34.39754,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,dc5d3290-d286-11ee-88ef-a7f70ebfc360,81.73424,,,5.39149,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:05:15.28,2024-02-23T14:05:15.2800372-06:00,2024-02-23T20:05:15.2800372Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,021371f3-81f0-4365-8fe4-bd93a63bd5b1,55.32476,-121.6894,10.39935,6.34702,-2.33208,-17.19877,-1.84321,4.75112,4.96115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-23,14:05:34.84,2,3,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.51982,-0.931925,-2.547389,1629.482145,84.875465,8:45,6.0054,1.84975,5.48828,-38.09742,0.24709,-8.65418,1.95777,-1.25632,79.69268,-7.83842,-4.087944,0.44568,,,,,,,,,,,,3.76236,0.67669,-1.62031,50,5.89758,5.88925,-124.25303,-3.4157,5.95847,21.85843,-31.10238,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,e800a0f0-d286-11ee-88ef-a7f70ebfc360,84.57291,,,5.82715,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:05:34.84,2024-02-23T14:05:34.8463220-06:00,2024-02-23T20:05:34.8463220Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,f11fcdda-714f-4a18-aa5c-98ab223d313b,55.01667,-125.13244,10.92922,6.00983,-2.16438,-15.55119,-1.85242,5.64952,2.97924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-23,14:05:53.60,2,4,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.3371,-2.920249,-1.965279,2474.531931,213.604312,1:00,6.02754,1.82777,5.89792,-15.54749,14.72741,9.11823,2.01668,0.76225,87.78026,-5.865152,-0.329084,0.396016,,,,,,,,,,,,-5.21122,8.67359,-1.67461,50,5.78318,4.37037,-139.66234,-7.62608,-10.25644,32.49441,-15.10311,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,f324cd30-d286-11ee-88ef-a7f70ebfc360,95.17909,,,8.55683,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:05:53.60,2024-02-23T14:05:53.6046708-06:00,2024-02-23T20:05:53.6046708Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,44e4d0c5-87a3-4c15-87ae-d078805a86c6,54.60319,-140.72926,16.24721,6.02543,-7.13019,-7.55156,-1.82364,4.70713,-5.12822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-23,14:06:14.99,2,5,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.74057,-0.058272,-0.552196,2822.371676,71.33183,8:30,5.93582,1.92674,5.31156,-40.90191,-1.86087,-8.44351,2.47262,0.70476,79.19131,-7.454253,-2.053418,0.44971,,,,,,,,,,,,4.13685,-0.64032,-1.87021,50,5.90031,1.54066,-123.30574,-1.65079,6.48366,20.3842,-33.17763,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,ffe93bf0-d286-11ee-88ef-a7f70ebfc360,83.81507,,,5.54926,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:06:14.99,2024-02-23T14:06:14.9952628-06:00,2024-02-23T20:06:14.9952628Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,b3b6eb8b-2128-4a7e-a64d-97bd171350f2,55.19483,-124.16155,10.1921,5.94038,-0.25786,-16.58882,-1.92918,1.26845,3.24183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-23,14:06:41.44,2,6,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Santerre, Cameron",1000228926,Right,SBU_SEA,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.92249,-2.626236,-2.382363,2445.923455,210.431982,1:00,5.93172,1.69475,5.91217,-10.1802,20.69753,11.48615,2.64189,0.43936,86.23709,-4.644756,-0.322494,0.399939,,,,,,,,,,,,-6.57429,11.70678,-1.50962,50,5.71466,5.23241,-138.87498,-6.59518,-12.64296,35.53604,-9.66093,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,0fa789c0-d287-11ee-88ef-a7f70ebfc360,94.24541,,,9.6854,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:06:41.44,2024-02-23T14:06:41.4420000-06:00,2024-02-23T20:06:41.4420000Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,990de08c-8272-45c3-95bc-656038fb3fc5,54.58626,-140.04363,17.76802,5.92633,-6.27747,-4.83046,-1.68853,5.64819,-6.32148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.19002,,,1.024634,,,,4.04732,5.24454,1.84299,68.28657,5.68052,-56.5089,4.08874,66.40019,-3.63686,5.30928,14.19858,-13.47175,1.68287,-65.09408,8.03061,High,High,High,,,High,Medium,Medium
9,2024-02-23,14:07:12.84,3,1,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Goforth, Evan",1000076995,Right,SBU_SEA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.1875,-1.578716,-1.515322,2364.676194,211.084638,1:00,6.07787,1.62444,5.86985,-14.16544,16.13304,9.13201,3.43001,0.97747,87.62359,-4.283214,0.122524,0.39617,,,,,,,,,,,,-5.02882,8.94985,-1.50658,50,5.94151,3.25658,-139.58543,-4.27595,-9.90537,31.90127,-14.54531,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,2263ae40-d287-11ee-88ef-a7f70ebfc360,95.14201,,,8.56391,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:07:12.84,2024-02-23T14:07:12.8423028-06:00,2024-02-23T20:07:12.8423028Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,b51f9bf0-2b9b-4773-b50f-afa8771397c9,54.62949,-140.63949,15.95064,6.07485,-3.79536,-7.27266,-1.61959,3.58386,-4.95268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-23,14:07:43.66,3,2,"Hurd, Thatcher",1000039292,Right,LSU_TIG,"Goforth, Evan",1000076995,Right,SBU_SEA,Undefined,1,Top,2,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.06769,1.821525,-0.88172,2820.019225,49.660674,7:45,6.27939,1.86555,5.35329,-53.50479,-10.51335,-13.77926,3.52994,-0.1098,75.17845,-7.854769,-3.332076,0.471914,,,,,,,,,,,,6.68957,-5.35882,-1.77605,50,6.40482,2.37526,-117.84735,1.79897,9.48473,20.67522,-39.772,LSU_TIG,SBU_SEA,LSU,D1,SEC,20240223-LSU-1,34cd6d00-d287-11ee-88ef-a7f70ebfc360,79.87148,,,5.88924,,,,,,,0f2ebc00-45d7-40e9-b695-6588d49af01b,2024-02-23,20:07:43.66,2024-02-23T14:07:43.6675188-06:00,2024-02-23T20:07:43.6675188Z,,v3,5323,471457,23 February 2024 15:00-stonybrook@lsu,"Neal, Brady",1000069474,Right,LSU_TIG,f6a4d02e-2e84-4a86-81db-3f9d85a0bf24,55.15432,-118.74819,10.33761,6.28869,3.53186,-19.886,-1.87053,1.962,4.74236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
