PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,18:02:32.41,1,1,"Dohm, Nate",1000236758,Right,MSU_BDG,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.22366,-3.82959,-1.809523,2292.093738,221.609866,1:30,5.47846,0.67697,6.57146,-14.55985,16.26832,13.54942,0.74782,0.14687,86.09615,-6.625407,0.653822,0.399618,,,,,,,,,,,,-7.63745,9.95319,-0.55785,50,5.20843,3.76981,-136.68398,-9.53428,-14.40744,30.92678,-13.39813,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,55e1ce10-dda8-11ee-8674-1d2c9438c199,94.32112,,,8.12751,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:02:32.41,2024-03-08T18:02:32.4110726-06:00,2024-03-09T00:02:32.4110726Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,250a4f94-0f29-44ce-9908-ba984ed382ce,53.92837,-137.56996,15.46339,5.47606,-9.15045,-6.69907,-0.67176,4.18255,-7.20372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,18:02:44.24,1,2,"Dohm, Nate",1000236758,Right,MSU_BDG,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,95.2766,-2.557792,-2.029131,2355.790338,215.322921,1:15,5.50917,0.74088,6.2708,-12.89241,17.59934,11.75406,2.07378,-0.15101,86.73696,-5.052163,0.094511,0.397432,104.3625,7.816991,22.594572,1763.552811,99.25195,10.28056,47.42368,201.61172,197.10949,28.170557,1.671626,-6.71744,10.20193,-0.5964,50,5.31342,4.39946,-138.27638,-6.52481,-12.94543,32.17141,-12.51352,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,5cee4f30-dda8-11ee-8674-1d2c9438c199,94.84001,10.29352,,8.53964,,,,1.29227,2.10844,0.10983,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:02:44.24,2024-03-08T18:02:44.2421126-06:00,2024-03-09T00:02:44.2421126Z,LineDrive,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,9fe57cad-4266-4d9a-81ec-fe3f14466a67,54.22902,-139.25683,16.08571,5.50645,-6.14345,-6.25676,-0.73649,4.79398,-6.47271,240.197206,1.29226,140.00522,-29.14828,6.97923,-1.35909,0.07123,0.09805,-0.0442,0.00665,2.10846,20.81588,-13.00121,-0.48084,0.18646,0.14812,-0.15156,0.05745,-0.00831,0.10985,58.26001,0.80649,-1.69335,0.50855,0.04881,-0.12061,0.04964,-0.00737,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-03-08,18:03:18.53,2,1,"Dohm, Nate",1000236758,Right,MSU_BDG,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.03108,-3.481787,-2.183969,2206.539949,216.629671,1:15,5.42982,0.62865,6.35828,-12.65575,18.10816,12.6589,1.16442,-0.32745,86.12047,-5.942841,0.10681,0.399202,,,,,,,,,,,,-7.22922,10.79953,-0.47584,50,5.17098,4.70587,-137.71806,-8.69752,-13.74906,33.35885,-11.63469,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,715f76b0-dda8-11ee-8674-1d2c9438c199,94.41956,,,8.91061,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:03:18.53,2024-03-08T18:03:18.5325958-06:00,2024-03-09T00:03:18.5325958Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,96da9e6e-8bfa-45a9-a614-60aacbe53eac,54.13966,-138.71716,16.67942,5.42626,-8.34905,-5.81735,-0.62294,5.11765,-6.87453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-08,18:03:37.21,2,2,"Dohm, Nate",1000236758,Right,MSU_BDG,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.32364,-1.384546,-0.659719,2469.107081,143.14435,10:45,5.20685,1.10203,5.91671,-30.11994,6.7815,-4.14339,1.41157,0.14447,79.46334,-6.978552,-1.404614,0.437213,,,,,,,,,,,,1.91638,4.28146,-1.04685,50,5.07893,1.63196,-126.728,-4.07343,3.08732,28.15959,-25.27651,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,7c86d740-dda8-11ee-8674-1d2c9438c199,86.21067,,,7.8603,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:03:37.21,2024-03-08T18:03:37.2190598-06:00,2024-03-09T00:03:37.2190598Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,a515c93c-8d5a-49d8-b13f-eee88b9a7062,54.58095,-127.74185,14.0798,5.2092,-3.16337,-12.63826,-1.10361,1.52081,1.54366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-08,18:03:55.99,2,3,"Dohm, Nate",1000236758,Right,MSU_BDG,"Widder, Brent",1000078767,Right,EVA_ACE,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,96.06119,-2.826574,-1.896919,2401.893082,214.132005,1:15,5.49228,0.65637,6.64846,-12.87481,16.56091,10.59339,1.82872,-0.19771,87.88978,-5.319276,0.03108,0.390489,95.74269,-20.219805,43.044542,,,,,4.78215,4.78215,44.411364,0.034981,-6.11099,9.80028,-0.53244,50,5.29604,4.19003,-139.52935,-7.21498,-12.04762,31.37967,-12.85305,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,87b319d0-dda8-11ee-8674-1d2c9438c199,96.52628,1.69989,,8.1714,,,,0.04312,1.69989,0.19636,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:03:55.99,2024-03-08T18:03:55.9991686-06:00,2024-03-09T00:03:55.9991686Z,GroundBall,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,2fcb0be6-c312-4c05-8bbb-84b5730f05b2,53.8515,-140.39287,15.68984,5.48971,-6.86129,-6.42653,-0.65231,4.52156,-6.02381,,0.04244,96.42085,,,,,,,,1.70023,-48.59425,,,,,,,,0.19573,90.05414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2024-03-08,18:04:36.83,3,1,"Dohm, Nate",1000236758,Right,MSU_BDG,"Scherry, Simon",1000098094,Right,EVA_ACE,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.42958,0.188511,-2.048025,2691.235304,48.214086,7:30,5.28406,0.99224,5.62449,-50.13026,-8.73319,-11.1215,1.28256,-1.8465,76.29531,-8.910378,-4.035977,0.46308,,,,,,,,,,,,5.08847,-4.10626,-0.81039,50,5.26782,4.72769,-119.77837,-1.38183,7.40737,22.69554,-38.15161,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,a01810c0-dda8-11ee-8674-1d2c9438c199,81.39507,,,6.13427,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:04:36.83,2024-03-08T18:04:36.8361862-06:00,2024-03-09T00:04:36.8361862Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,ae47a94c-2b2d-4128-b908-7daf39cec35e,54.87857,-120.69921,11.34777,5.29249,0.16613,-19.07581,-0.99611,4.42714,3.70369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,18:04:56.27,3,2,"Dohm, Nate",1000236758,Right,MSU_BDG,"Scherry, Simon",1000098094,Right,EVA_ACE,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.79038,-2.118985,-1.409653,2458.343966,181.981654,12:00,5.16875,1.26538,5.96099,-30.82139,5.61674,0.15201,0.6339,-0.02937,80.11003,-7.82432,-1.382301,0.43446,,,,,,,,,,,,-0.5048,3.8741,-1.15359,50,4.98328,3.12837,-127.379,-5.74891,-0.82238,28.22354,-25.86258,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,aba733d0-dda8-11ee-8674-1d2c9438c199,86.75706,,,7.68035,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:04:56.27,2024-03-08T18:04:56.2792326-06:00,2024-03-09T00:04:56.2792326Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,a0799820-a22e-4745-9387-b29c8d605373,54.53834,-128.38062,14.11177,5.17102,-4.83108,-12.93129,-1.26513,3.15756,-0.41119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-08,18:05:17.23,3,3,"Dohm, Nate",1000236758,Right,MSU_BDG,"Scherry, Simon",1000098094,Right,EVA_ACE,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,95.44016,-2.168034,-1.378472,2285.919089,210.908083,1:00,5.48153,0.77921,6.59157,-10.99473,18.79316,10.69875,2.57725,0.40745,87.41259,-4.320521,0.566852,0.392818,95.94658,11.668729,14.227212,2941.924014,104.82343,17.36325,33.34726,235.86222,235.6155,22.460305,2.296578,-6.03095,10.78174,-0.68922,50,5.32832,2.90947,-138.75554,-5.50638,-11.77763,30.55565,-11.11875,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,b81ce650-dda8-11ee-8674-1d2c9438c199,95.95397,17.75735,,8.02757,,,,1.27986,2.6098,-0.40076,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:05:17.23,2024-03-08T18:05:17.2376454-06:00,2024-03-09T00:05:17.2376454Z,LineDrive,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,b2929a04-6a79-4e28-a621-d9a7dac592de,53.90926,-139.61375,15.27783,5.4786,-5.19409,-5.55938,-0.77558,3.24026,-5.88882,236.940188,1.27988,133.58581,-25.03919,5.18199,-1.17967,0.3481,-0.11768,0.02717,-0.00273,2.60977,28.46218,-13.77351,0.32181,0.15263,-0.16946,0.09441,-0.02567,0.00278,-0.4008,33.87142,5.40422,-2.31294,0.8507,-0.39651,0.16932,-0.04285,0.00452,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-03-08,18:05:52.66,4,1,"Dohm, Nate",1000236758,Right,MSU_BDG,"McGinnis, Cal",10006675,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.88192,-2.082499,-1.309724,2261.469973,212.995894,1:00,5.63444,0.81045,6.47108,-12.07879,18.46887,11.32253,2.71399,0.55095,86.15601,-4.446015,0.744483,0.397796,79.29207,9.901342,-169.616115,,,,,,30.44076,,,-6.15863,10.4793,-0.72171,50,5.48124,2.63686,-137.72039,-5.26791,-11.76175,32.1917,-12.16074,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,cd3ee740-dda8-11ee-8674-1d2c9438c199,94.75323,7.7053,,8.72591,,,,2.62606,2.11454,-0.1073,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:05:52.66,2024-03-08T18:05:52.6631814-06:00,2024-03-09T00:05:52.6631814Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,5ca680a5-61b2-4f9a-8142-d7eb1eddaf04,54.02311,-138.65759,16.09585,5.62945,-4.91387,-6.08037,-0.80346,2.97928,-5.88087,229.031678,2.62678,-112.71929,9.38797,,,,,,,2.11323,20.05626,-3.14877,,,,,,,-0.10533,-20.73774,-14.89838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-03-08,18:06:11.81,4,2,"Dohm, Nate",1000236758,Right,MSU_BDG,"McGinnis, Cal",10006675,Left,EVA_ACE,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.28639,-2.497627,-0.156612,2149.03466,218.370055,1:15,5.53559,0.6774,6.53964,-14.54072,16.05607,11.80481,2.0316,1.51749,85.60328,-5.324695,1.988804,0.398116,,,,,,,,,,,,-6.1924,9.57111,-0.67086,50,5.35599,-0.12951,-138.20653,-6.39657,-11.73346,36.64757,-14.0386,MSU_BDG,EVA_ACE,MSST,D1,SEC,20240308-MSST-1,d8a8a800-dda8-11ee-8674-1d2c9438c199,94.67709,,,9.68311,,,,,,,4a30330e-9ed4-4f38-88a7-7efafc702268,2024-03-09,00:06:11.81,2024-03-08T18:06:11.8108038-06:00,2024-03-09T00:06:11.8108038Z,,v3,5080,471290,,"Long, Johnny",802337,Right,MSU_BDG,fb892deb-d7d9-4d86-9fe0-aada9895a593,53.95629,-139.25165,18.32378,5.5327,-5.99622,-7.0193,-0.67194,0.2051,-5.86673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
