PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-21,19:02:14.98,1,1,"Prager, Ryan",696492,Left,TEX_AGG,"Larry, Amani",1000116176,Right,MSU_BDG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.69112,-3.910722,2.198855,2224.111743,170.724233,11:45,6.82797,-1.91915,5.97799,-12.8819,21.78958,-3.37886,2.12083,-0.16133,82.29402,-6.386006,1.592173,0.423797,,,,,,,,,,,,2.2915,12.49457,1.74685,50,6.51029,-4.8411,-129.93306,-9.197,3.93483,26.09177,-10.71916,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,ae1ddce0-e7df-11ee-98df-3d9793ed382f,88.93994,,,7.39711,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:02:14.98,2024-03-21T19:02:14.9810000-05:00,2024-03-22T00:02:14.9810000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,1ad028d5-960c-4baa-bc60-e6402565edd5,54.52001,-130.83757,13.04589,6.82267,-8.8254,-5.35958,1.91704,-4.9775,1.96741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-21,19:02:33.57,1,2,"Prager, Ryan",696492,Left,TEX_AGG,"Larry, Amani",1000116176,Right,MSU_BDG,Undefined,1,Top,0,0,1,Splitter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.28481,-1.820524,2.955169,1406.680953,148.014155,11:00,6.72845,-1.86956,6.0206,-30.05269,11.04335,-6.09087,2.53493,0.36261,75.63373,-7.403751,1.86029,0.461393,,,,,,,,,,,,3.92756,6.58831,1.64103,50,6.56927,-5.92711,-119.36904,-4.71366,5.67676,22.60289,-22.65154,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,b939cbc0-e7df-11ee-98df-3d9793ed382f,81.69263,,,6.65108,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:02:33.57,2024-03-21T19:02:33.5750000-05:00,2024-03-22T00:02:33.5750000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,281338d2-bc9f-40e5-a5e5-0639ea210b6d,54.47944,-120.21425,11.30144,6.72969,-3.86664,-11.32577,1.86664,-6.13938,2.83838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-21,19:02:49.96,1,3,"Prager, Ryan",696492,Left,TEX_AGG,"Larry, Amani",1000116176,Right,MSU_BDG,Undefined,1,Top,0,0,2,Splitter,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.17322,-4.867227,2.485977,1422.606119,143.417259,10:45,6.63245,-1.90269,6.2899,-28.1084,12.77335,-8.53497,-0.21051,-0.32148,76.07144,-10.066014,0.941079,0.460189,,,,,,,,,,,,5.15646,8.34402,1.7237,50,6.25907,-4.86705,-119.00857,-10.94301,7.42137,22.0818,-20.16508,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,c2f62aa0-e7df-11ee-98df-3d9793ed382f,81.90648,,,6.10178,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:02:49.96,2024-03-21T19:02:49.9620000-05:00,2024-03-22T00:02:49.9620000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,f987b9f2-fde2-48c8-9882-b77074bc580b,54.21319,-119.78776,11.0409,6.63266,-10.23144,-10.08254,1.90007,-5.12893,3.71069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-21,19:03:12.40,1,4,"Prager, Ryan",696492,Left,TEX_AGG,"Larry, Amani",1000116176,Right,MSU_BDG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68481,-4.78023,2.709562,2143.922062,171.946875,11:45,6.80818,-1.9448,5.99496,-11.42642,22.35812,-3.01914,1.41073,0.31651,83.72177,-6.973893,2.167766,0.418341,,,,,,,,,,,,2.23079,13.01918,1.73282,50,6.42383,-6.08846,-131.30914,-11.27441,3.93353,25.21705,-9.21748,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,d05ad100-e7df-11ee-98df-3d9793ed382f,90.0998,,,6.96304,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:03:12.40,2024-03-21T19:03:12.4070000-05:00,2024-03-22T00:03:12.4070000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,dd404708-92f7-43af-b727-6b88903e6b3e,54.50702,-132.17185,12.60853,6.80415,-10.95906,-4.60874,1.94341,-6.22303,1.96677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-21,19:03:30.29,1,5,"Prager, Ryan",696492,Left,TEX_AGG,"Larry, Amani",1000116176,Right,MSU_BDG,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.87267,-0.98876,1.13755,2224.304552,319.496129,4:45,6.67438,-2.10202,5.76897,-43.31018,-1.77303,2.52583,2.14472,-0.83271,76.01858,-8.887126,1.590871,0.463863,,,,,,,,,,,,-0.99512,-0.26067,2.00637,50,6.5663,-2.46207,-119.02896,-3.52232,-1.43815,21.27259,-32.55075,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,db0c1730-e7df-11ee-98df-3d9793ed382f,81.25772,,,5.85409,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:03:30.29,2024-03-21T19:03:30.2940000-05:00,2024-03-22T00:03:30.2940000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,5ba7d36b-d3cd-43f6-82dc-b09f52df750f,54.7341,-119.87204,10.63629,6.68033,-2.23226,-16.27538,2.10282,-2.40507,-0.71907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.78432,,,0.939185,,,,2.32601,5.59482,-1.99908,74.04114,8.88711,50.74668,2.56212,83.69904,-7.99165,5.62725,14.43896,-11.66533,-1.93995,58.67098,-2.7162,High,High,High,,,High,High,High
6,2024-03-21,19:04:03.95,2,1,"Prager, Ryan",696492,Left,TEX_AGG,"Mershon, David",1000074580,Right,MSU_BDG,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.54398,-0.777467,2.54725,2240.049163,302.064517,4:00,6.65965,-2.13315,6.14881,-42.16136,-2.23658,5.64355,2.42703,0.69246,76.51919,-8.546939,3.565198,0.454771,,,,,,,,,,,,-2.14288,-0.4961,1.93642,50,6.57917,-5.61257,-121.2675,-3.02173,-3.16624,25.43378,-32.90706,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,ef1ad360-e7df-11ee-98df-3d9793ed382f,82.88224,,,7.0248,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:04:03.95,2024-03-21T19:04:03.9500000-05:00,2024-03-22T00:04:03.9500000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,673b74ff-cb16-4b1b-950a-57ef7b26e1a8,54.35249,-122.17696,12.71689,6.66618,-1.84506,-16.45353,2.13508,-5.49935,-1.58312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-21,19:04:23.39,2,2,"Prager, Ryan",696492,Left,TEX_AGG,"Mershon, David",1000074580,Right,MSU_BDG,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.87944,0.128871,1.449444,2255.218643,323.36892,4:45,6.65419,-2.23677,6.05868,-43.27648,-3.5263,3.60473,3.16714,-0.59446,76.51976,-7.855666,2.099264,0.453775,,,,,,,,,,,,-1.4091,-1.43445,2.12228,50,6.64139,-3.22387,-121.81239,-1.17082,-2.09696,26.06335,-34.30873,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,fab05f10-e7df-11ee-98df-3d9793ed382f,83.0641,,,7.35968,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:04:23.39,2024-03-21T19:04:23.3960000-05:00,2024-03-22T00:04:23.3960000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,615031d4-a202-43e9-983f-ee800be60849,54.44264,-122.75927,13.03168,6.66129,0.07561,-17.15437,2.23803,-3.14769,-1.04848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-21,19:04:46.87,2,3,"Prager, Ryan",696492,Left,TEX_AGG,"Mershon, David",1000074580,Right,MSU_BDG,Undefined,1,Top,1,0,2,Splitter,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,83.60126,-6.706448,2.095954,1588.031498,140.40154,10:45,6.64422,-1.87902,6.1657,-25.84954,13.95595,-10.53268,-1.73759,-0.81974,77.72045,-11.440961,0.192313,0.454091,,,,,,,,,,,,6.17363,9.37477,1.72593,50,6.1197,-4.05791,-120.7698,-14.96584,9.16793,22.31324,-18.25243,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,08a3b0e0-e7e0-11ee-98df-3d9793ed382f,83.00638,,,5.88082,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:04:46.87,2024-03-21T19:04:46.8740000-05:00,2024-03-22T00:04:46.8740000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,4edcdb5b-12b5-4006-9ed0-13cb33d9903b,54.34004,-121.56901,11.15662,6.64403,-14.31208,-9.12622,1.87716,-4.38629,4.58396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-21,19:05:08.78,2,4,"Prager, Ryan",696492,Left,TEX_AGG,"Mershon, David",1000074580,Right,MSU_BDG,Undefined,1,Top,1,1,2,Splitter,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.92569,-0.945975,2.991949,1619.484408,128.978318,10:15,6.63345,-2.04173,6.00281,-31.54317,9.8006,-10.5528,3.12705,-0.14629,75.39725,-6.802519,1.095693,0.462782,,,,,,,,,,,,6.18335,5.69807,1.81172,50,6.54169,-5.8069,-118.92329,-2.93736,8.89613,21.81872,-23.97608,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,15c22680-e7e0-11ee-98df-3d9793ed382f,81.44752,,,6.52844,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:05:08.78,2024-03-21T19:05:08.7800000-05:00,2024-03-22T00:05:08.7800000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,d0651043-7d61-402c-865e-3bd30581f46b,54.49768,-119.74563,10.90936,6.63537,-2.0337,-11.98804,2.0369,-6.1422,4.44806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2401,,,1.048535,,,,0.10717,6.16055,-0.7616,74.428,8.78491,50.35891,0.33334,78.32491,-7.21275,6.22373,15.51708,-12.44076,-0.69288,51.60418,-2.75205,High,High,High,,,High,High,High
10,2024-03-21,19:05:37.29,3,1,"Prager, Ryan",696492,Left,TEX_AGG,"Jordan, Dakota",1000077121,Right,MSU_BDG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.67004,-5.292779,2.325161,2236.457205,173.314308,11:45,6.77029,-2.06265,5.93831,-10.1006,24.43588,-2.71764,1.00031,-0.13085,82.18929,-7.286404,1.837809,0.422971,,,,,,,,,,,,2.1039,14.51269,1.87859,50,6.34088,-5.20078,-130.96,-12.34293,3.61834,30.15838,-7.21454,TEX_AGG,MSU_BDG,Olsen,D1,SEC,20240321-Olsen-1,26b37610-e7e0-11ee-98df-3d9793ed382f,89.11356,,,8.48075,,,,,,,f8c5e5a1-d967-4f41-8ea4-a91b2be05b5d,2024-03-22,00:05:37.29,2024-03-21T19:05:37.2980000-05:00,2024-03-22T00:05:37.2980000Z,,v3,3032,5080,,"Appel, Jackson",815096,Right,TEX_AGG,95d3f630-6f96-4725-994a-b7017e13a603,54.56122,-132.00621,15.07919,6.76472,-12.09266,-3.60727,2.06118,-5.3263,1.80917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
