PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-31,13:32:20.63,1,1,"Dennis, Gunnar",10157164,Left,OLE_REB,"Waldschmidt, Ryan",1000119627,Right,KEN_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.76781,-3.368478,3.310056,2379.188428,125.758017,10:15,6.14043,-1.6703,5.64128,-24.54336,10.45284,-13.02552,0.94388,0.33556,82.73841,-7.88845,0.984937,0.425777,,,,,,,,,,,,7.53422,6.51642,1.39755,50,5.83781,-6.96758,-130.05595,-8.52616,12.97322,25.91427,-20.95338,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,e810f770-ef8c-11ee-97c3-9fa2fea3832f,88.52629,,,7.0294,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:32:20.63,2024-03-31T13:32:20.6300000-05:00,2024-03-31T18:32:20.6300000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,304ac12c-72c7-47ca-9b81-3a425724ac07,54.86061,-131.02087,12.95714,6.14076,-7.74596,-10.47669,1.66598,-7.45064,6.48661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-31,13:32:35.40,1,2,"Dennis, Gunnar",10157164,Left,OLE_REB,"Waldschmidt, Ryan",1000119627,Right,KEN_WIL,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.7728,-2.300495,3.490662,2527.25215,131.344047,10:30,6.0757,-1.82982,5.78703,-21.88253,13.18989,-13.653,2.10679,0.28394,81.79503,-6.396327,1.04927,0.42624,110.66534,13.44349,-31.751009,2671.769047,89.94275,17.84057,-63.32692,233.59069,226.46994,-39.837482,1.891311,8.03032,7.75067,1.55039,50,5.87265,-7.35523,-130.05621,-5.95232,13.6899,28.46697,-18.9609,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,f0de1450-ef8c-11ee-97c3-9fa2fea3832f,88.43008,18.06252,,7.97776,,,,2.16562,2.21319,-0.20083,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:32:35.40,2024-03-31T13:32:35.4060000-05:00,2024-03-31T18:32:35.4060000Z,LineDrive,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,e82b7323-bdb9-4745-9064-223a381d8466,54.71365,-131.08388,14.23348,6.07518,-5.26782,-9.48045,1.82484,-7.84944,6.84495,90.835963,2.16562,134.23648,-31.41507,7.85838,-2.00613,0.4971,-0.11525,0.01997,-0.00176,2.21319,37.73456,-24.64319,3.00214,-0.62542,0.12704,-0.02321,0.00333,-0.00024,-0.20083,-83.07132,0.49944,1.74128,-0.77495,0.25922,-0.07002,0.01341,-0.00126,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2024-03-31,13:33:18.45,2,1,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.43061,2.933072,-0.53973,2427.449516,319.210042,4:45,6.1833,-1.8044,5.10058,-65.59637,-14.09544,13.76513,3.48336,-1.16592,68.2182,-8.945573,1.898239,0.51651,,,,,,,,,,,,-6.94622,-7.29083,1.84426,50,6.40928,0.46867,-109.22954,3.26626,-8.23717,22.5518,-40.81987,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,0a91f970-ef8d-11ee-97c3-9fa2fea3832f,72.97519,,,7.21241,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:33:18.45,2024-03-31T13:33:18.4560000-05:00,2024-03-31T18:33:18.4560000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,91fda3a1-2d18-47e5-a428-7330e7ecdfe7,55.4015,-110.33911,11.2759,6.19917,5.27464,-20.40994,1.81123,0.87395,-4.11859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-31,13:33:38.02,2,2,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.97151,-2.022973,3.531929,2532.202057,122.276191,10:00,6.02498,-1.79937,5.63565,-24.74261,10.03579,-14.21284,2.07133,0.31562,82.77227,-6.594731,0.997157,0.42445,77.59371,24.054496,-131.163879,4640.343022,,,,,49.41678,,,8.15524,5.94331,1.50802,50,5.83672,-7.43587,-130.45852,-5.48816,14.13591,25.96015,-21.87218,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,1630d3f0-ef8d-11ee-97c3-9fa2fea3832f,88.80307,20.37891,,7.19924,,,,0.22797,1.72874,-0.0759,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:33:38.02,2024-03-31T13:33:38.0240000-05:00,2024-03-31T18:33:38.0240000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,b66efb48-fbda-49ba-bf0b-63b5537d1ea5,54.86571,-131.42319,12.98008,6.02555,-4.6754,-10.93609,1.7941,-7.96116,7.06796,78.444478,0.22797,-68.40235,-0.32865,1.06066,-0.38053,0.10505,-0.02664,0.00756,-0.00186,1.72874,46.38709,-19.24187,1.56197,-0.2639,0.04834,-0.01105,0.00689,-0.00298,-0.0759,-78.23483,16.13491,-3.16102,0.66787,-0.11619,0.02362,-0.00605,0.00149,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-31,13:34:00.38,2,3,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.45021,2.122613,0.588335,2245.981665,313.956714,4:30,6.17457,-1.76796,5.09262,-58.10184,-8.41823,10.45083,3.33424,-0.34256,69.72317,-8.396252,2.438436,0.507315,,,,,,,,,,,,-4.97662,-4.25512,1.70389,50,6.32981,-1.56353,-110.83379,2.04548,-6.13358,21.50657,-37.41842,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,2396b2d0-ef8d-11ee-97c3-9fa2fea3832f,74.29788,,,6.72703,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:34:00.38,2024-03-31T13:34:00.3860000-05:00,2024-03-31T18:34:00.3860000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,c4682540-49b1-4569-ad1e-db93789adac8,55.40861,-111.87838,10.75329,6.18632,3.8629,-18.70921,1.7726,-1.26562,-3.06679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-31,13:34:21.37,2,4,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.58733,-1.398359,4.265919,2397.095335,128.620916,10:15,6.00857,-1.85885,5.90137,-23.95986,10.84827,-12.2356,2.7099,1.08906,82.21599,-5.860551,2.077184,0.424631,,,,,,,,,,,,7.37146,6.25874,1.52213,50,5.88206,-9.16335,-129.83891,-3.97418,12.64226,25.99807,-21.44016,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,30097f20-ef8d-11ee-97c3-9fa2fea3832f,88.76517,,,7.37133,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:34:21.37,2024-03-31T13:34:21.3740000-05:00,2024-03-31T18:34:21.3740000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,65b85c67-1918-4f74-814e-5a206d616441,54.59858,-130.75646,12.99903,6.00897,-3.21749,-10.72008,1.8534,-9.60953,6.32113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-31,13:34:43.54,2,5,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.72566,-1.428233,3.383412,2406.243643,140.188652,10:45,6.00603,-1.86939,5.77631,-21.32155,13.4591,-10.33217,2.89764,0.4216,82.37816,-5.411084,1.536957,0.424463,,,,,,,,,,,,6.12957,7.56012,1.59583,50,5.87497,-7.24477,-130.14234,-3.95173,10.5702,25.90871,-19.13687,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,3d3eb110-ef8d-11ee-97c3-9fa2fea3832f,88.80021,,,7.3475,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:34:43.54,2024-03-31T13:34:43.5470000-05:00,2024-03-31T18:34:43.5470000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,7d89053e-47a8-4c44-b551-d1cbe2547839,54.72312,-131.07924,12.95435,6.00536,-3.25971,-9.56844,1.86472,-7.62701,5.2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-31,13:35:04.46,2,6,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,3,2,ChangeUp,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.45391,-0.330593,2.126692,2263.772166,120.723404,10:00,6.05858,-1.9841,5.76671,-27.13364,8.57953,-12.62564,3.48955,-1.05604,81.24768,-5.360819,-0.133598,0.430116,68.83392,16.134214,-168.313037,3193.616993,,,,,47.54516,,,7.02406,4.78453,1.81591,50,6.01469,-4.24228,-128.49953,-1.6734,11.79666,25.52062,-24.13863,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,49bec3d0-ef8d-11ee-97c3-9fa2fea3832f,87.63316,12.56257,,7.20623,,,,0.90806,3.41802,1.02668,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:35:04.46,2024-03-31T13:35:04.4670000-05:00,2024-03-31T18:35:04.4670000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,48c4d0ff-ed76-4e31-ba51-797e39ab224a,54.73455,-129.43642,12.76031,6.05986,-0.78724,-12.06931,1.97959,-4.67535,5.89833,58.697929,0.90806,-94.96968,8.14192,-1.9082,0.90728,-0.71412,-2.65105,6.96296,-4.65551,3.41802,28.05422,-21.21324,1.94368,0.30131,-0.54641,-4.32381,10.31932,-6.73596,1.02668,-19.64499,6.19077,-1.51848,0.9349,-0.76861,-3.30681,8.4661,-5.62539,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-03-31,13:35:31.70,2,7,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,3,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.17416,-0.614196,3.199073,1271.193736,128.149183,10:15,6.00377,-1.99797,6.01303,-24.27072,9.80985,-11.18221,3.41131,0.03685,82.817,-5.14327,1.190974,0.42017,88.05846,36.133594,-65.770274,4609.639747,,,,,128.18397,,,6.60524,5.52292,1.75286,50,5.94216,-6.85285,-130.92668,-2.20778,11.52411,26.31405,-22.53822,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,59f3ef50-ef8d-11ee-97c3-9fa2fea3832f,89.70766,78.7848,,7.35716,,,,0.14395,3.25166,0.09806,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:35:31.70,2024-03-31T13:35:31.7080000-05:00,2024-03-31T18:35:31.7080000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,0d888ea9-67bc-455b-9d2e-a75baa3a91e8,54.48792,-131.82559,13.15702,6.00443,-1.43785,-11.26911,1.99368,-7.24652,5.76205,138.115323,0.14395,42.80804,-18.28623,5.75179,-1.55405,0.37695,-0.08581,0.01535,-0.00146,3.25166,76.15718,-19.76014,1.17218,0.01102,-0.05892,0.02184,-0.0041,0.0004,0.09806,-95.1202,14.75131,-2.74331,0.42021,-0.04468,0.00485,-0.00108,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-31,13:35:56.62,2,8,"Dennis, Gunnar",10157164,Left,OLE_REB,"Pitre, Emilien",692150,Left,KEN_WIL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.0546,-0.886626,4.320899,2481.924778,132.653078,10:30,5.95638,-1.88339,5.54121,-23.82241,12.23733,-11.95489,3.14009,1.16646,80.86359,-5.32582,2.197646,0.432198,,,,,,,,,,,,7.24556,6.79996,1.51602,50,5.86373,-9.1942,-128.85349,-2.81854,12.12114,28.01503,-20.79835,OLE_REB,KEN_WIL,OleMiss,D1,SEC,20240331-OleMiss-1,68d41220-ef8d-11ee-97c3-9fa2fea3832f,87.21105,,,8.19101,,,,,,,80bd6de6-ca04-4c81-82e6-0448a09cbd1a,2024-03-31,18:35:56.62,2024-03-31T13:35:56.6200000-05:00,2024-03-31T18:35:56.6200000Z,,v3,5322,471331,,"Berch, Elijah (Eli)",1000222230,Right,OLE_REB,d480d1d3-c4c5-4cfb-973d-f7d30a4bbe3a,54.95623,-129.9266,14.00752,5.95643,-2.02187,-10.39917,1.87709,-9.65849,6.06057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
