PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-03,15:02:34.34,1,1,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.23786,-2.84466,-3.801777,2070.939704,210.942516,1:00,5.77803,2.83517,5.964,-20.67899,15.32127,8.48063,1.40913,0.01159,80.71389,-6.72871,-2.281838,0.431841,,,,,,,,,,,,-5.46087,9.03634,-2.53816,50,5.54029,8.14974,-127.79851,-6.99648,-9.0192,26.66729,-17.24952,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,1cdde610-f1f5-11ee-93d9-975ea3033fa7,87.28309,,,7.52397,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:02:34.34,2024-04-03T15:02:34.3473366-05:00,2024-04-03T20:02:34.3473366Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,d3be8189-9044-4685-8da3-866010999aa0,54.53575,-128.74149,13.33365,5.77691,-6.38652,-8.62476,-2.83198,8.46867,-4.5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-03,15:02:53.43,1,2,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2419,-3.878368,-4.17358,2149.994968,215.982914,1:15,5.76714,2.84254,6.05838,-19.92292,15.50225,10.34949,0.5021,-0.16485,81.1019,-7.636293,-2.316164,0.428378,,,,,,,,,,,,-6.62398,9.54296,-2.5235,50,5.45415,8.98836,-128.98101,-9.36157,-11.05949,29.05147,-16.24093,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,283ad590-f1f5-11ee-93d9-975ea3033fa7,87.9887,,,8.14,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:02:53.43,2024-04-03T15:02:53.4376662-05:00,2024-04-03T20:02:53.4376662Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,93472647-bed7-49a1-9b30-cc5ba01a05fd,54.44025,-129.97727,14.52574,5.76564,-8.80462,-8.12046,-2.83824,9.36762,-5.52974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-03,15:03:06.26,1,3,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.32109,-1.390796,-3.208182,2113.353314,216.14998,1:15,5.79837,2.98555,6.02662,-20.26048,15.01867,10.06382,2.81966,0.84989,80.79371,-5.236987,-1.400792,0.427495,86.67602,-19.562644,-57.160341,,,,,10.52489,10.44426,-47.47004,0.068377,-6.19827,8.52772,-2.73994,50,5.67853,6.83898,-129.45059,-3.75717,-10.39621,29.93536,-17.87076,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,2fe655d0-f1f5-11ee-93d9-975ea3033fa7,88.17058,2.91825,,8.52738,,,,2.6611,2.91825,-0.8561,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:03:06.26,2024-04-03T15:03:06.2657750-05:00,2024-04-03T20:03:06.2657750Z,GroundBall,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,7788a76b-c14d-4243-9920-2cd44cd23908,54.47158,-130.48054,14.96768,5.79722,-3.14231,-8.93538,-2.9814,7.19667,-5.1981,180,2.65921,65.13114,,,,,,,,2.91949,-42.67887,,,,,,,,-0.85317,-100.91028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-04-03,15:03:39.24,1,4,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.33411,0.452885,-3.580802,2336.161928,46.678648,7:30,5.81862,2.7593,5.75913,-62.53377,-15.14623,-17.61615,1.02985,-2.04609,71.4311,-10.868049,-6.730625,0.495454,,,,,,,,,,,,7.89288,-7.41993,-2.45147,50,5.8184,7.67137,-112.20074,-1.16257,9.96007,22.21287,-41.5373,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,439b5940-f1f5-11ee-93d9-975ea3033fa7,76.07654,,,5.90301,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:03:39.24,2024-04-03T15:03:39.2421590-05:00,2024-04-03T20:03:39.2421590Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,7e28a5a7-a886-4f2d-b2c2-4db94be1004a,54.74549,-113.13632,11.10644,5.83052,0.58694,-20.76865,-2.76574,7.25186,4.98004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-03,15:03:53.65,1,5,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.83083,-2.850331,-4.317215,2072.168445,217.798771,1:15,5.76863,2.90643,6.04676,-19.52407,15.09324,10.83867,1.49314,-0.19474,82.2085,-6.527122,-2.373557,0.423465,,,,,,,,,,,,-6.82874,8.9189,-2.57571,50,5.53542,9.37907,-130.06569,-7.08919,-11.69834,27.26842,-16.89502,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,4c21f740-f1f5-11ee-93d9-975ea3033fa7,89.00948,,,7.62233,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:03:53.65,2024-04-03T15:03:53.6542422-05:00,2024-04-03T20:03:53.6542422Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,a6a4c960-5873-402d-82fe-87a057d272e5,54.45348,-130.99604,13.63421,5.76745,-6.51276,-8.44751,-2.90252,9.7782,-5.84917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-03,15:04:12.97,1,6,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.67149,-2.938025,-3.549626,2109.05697,243.199039,2:00,5.77093,2.88136,5.99098,-26.43777,8.12418,14.01796,0.83731,0.75566,82.73557,-7.825414,-1.031289,0.423127,,,,,,,,,,,,-8.15619,5.26441,-2.609,50,5.52402,7.48901,-130.01383,-7.57475,-14.04651,25.68843,-23.10773,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,57aa1570-f1f5-11ee-93d9-975ea3033fa7,89.0807,,,6.93592,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:04:12.97,2024-04-03T15:04:12.9777366-05:00,2024-04-03T20:04:12.9777366Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,464f94d2-f108-44b0-9e9f-816ac1379a9f,54.50982,-130.90185,12.84422,5.77207,-6.77594,-11.55387,-2.87629,7.97459,-7.02325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-03,15:04:30.59,1,7,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Rice, Zac",1000072206,Right,UTM_SKY,Undefined,1,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.15323,-2.68286,-5.344165,2124.197008,232.144694,1:45,5.74687,2.87836,6.08147,-24.20033,10.71544,12.44485,1.23539,-1.04327,82.27332,-7.178593,-3.115501,0.425287,,,,,,,,,,,,-7.7837,6.53355,-2.47094,50,5.52563,11.56486,-129.01,-6.84931,-13.23468,24.60655,-21.06503,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,622caa80-f1f5-11ee-93d9-975ea3033fa7,88.62827,,,6.87991,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:04:30.59,2024-04-03T15:04:30.5965270-05:00,2024-04-03T20:04:30.5965270Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,bff38e35-36d0-404c-95e4-5007a8a95cad,54.41907,-129.85013,12.30327,5.7472,-6.1301,-10.53251,-2.8735,12.01673,-6.61734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-03,15:05:02.75,2,1,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Smith, Will",1000100265,Right,UTM_SKY,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.63247,-1.396716,-4.26076,2355.790123,36.872567,7:15,5.74164,3.07054,5.80007,-65.91074,-18.10611,-14.83922,-1.05385,-2.13627,71.15119,-13.272672,-6.920584,0.49763,,,,,,,,,,,,6.19363,-8.5741,-2.71053,50,5.58649,8.89676,-112.36289,-4.85449,7.70106,25.56218,-42.83498,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,75526640-f1f5-11ee-93d9-975ea3033fa7,75.74391,,,6.48128,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:05:02.75,2024-04-03T15:05:02.7507926-05:00,2024-04-03T20:05:02.7507926Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,d1219027-9078-407a-a4fa-d1bc0a5c33de,54.70408,-113.428,12.78109,5.75158,-3.06966,-21.41749,-3.07455,8.57587,3.85053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-03,15:05:24.25,2,2,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Smith, Will",1000100265,Right,UTM_SKY,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.53952,-1.262606,-6.260585,1511.322942,271.438401,3:00,5.75177,3.08064,5.9618,-37.99199,0.74339,11.44697,1.40778,-1.79389,78.86713,-8.194201,-4.219394,0.447946,,,,,,,,,,,,-7.32693,0.99205,-2.58845,50,5.6295,12.9818,-122.35022,-3.98169,-11.30406,20.11115,-30.6435,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,82281310-f1f5-11ee-93d9-975ea3033fa7,84.14512,,,5.67239,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:05:24.25,2024-04-03T15:05:24.2507990-05:00,2024-04-03T20:05:24.2507990Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,13f037b5-b4a4-4b3a-a8ac-51d405a912d4,54.54073,-123.09433,10.05557,5.75585,-2.84788,-15.32175,-3.07652,13.40005,-5.65203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-03,15:05:42.63,2,3,"McDevitt, Josh",10147588,Right,MIZ_TIG,"Smith, Will",1000100265,Right,UTM_SKY,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.34774,-2.891094,-4.540496,2106.790134,206.942148,1:00,5.78085,3.06098,5.95619,-15.76828,20.19068,9.66252,1.775,-0.35334,80.71378,-5.902548,-2.81273,0.431593,,,,,,,,,,,,-6.22449,11.52331,-2.70502,50,5.54148,9.75206,-127.82578,-6.90508,-10.29996,26.31705,-13.10589,MIZ_TIG,UTM_SKY,TaylorStadium,D1,SEC,20240403-TaylorStadium-1,8d1c55b0-f1f5-11ee-93d9-975ea3033fa7,87.3332,,,7.63397,,,,,,,39394e98-cc21-4e94-8471-ccc2da0c7471,2024-04-03,20:05:42.63,2024-04-03T15:05:42.6361046-05:00,2024-04-03T20:05:42.6361046Z,,v3,4806,471460,03 April 2024 16:00-tnmartin@missouri,"Serna, Mateo",806219,Right,MIZ_TIG,822e9058-6fdc-4806-960c-34b13b8dae86,54.54262,-128.75763,13.15852,5.77776,-6.44102,-6.55295,-3.05678,10.11677,-5.14998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
