PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-19,19:02:46.76,1,1,"Kimball, Roman",695651,Right,SOU_GAM,"Stovall, Peyton",696510,Left,ARK_RAZ,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.83799,-1.185373,-2.350086,2074.111575,212.110097,1:00,4.77314,1.12997,5.93826,-18.30107,15.61343,9.10201,2.14734,-0.29286,82.74848,-4.654742,-0.716531,0.419145,,,,,,,,,,,,-5.32244,8.67063,-0.94752,50,4.66822,5.01566,-131.81494,-3.28854,-9.33768,28.7658,-16.96232,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,f04350f0-fea0-11ee-976f-6d81310e0852,89.92703,,,8.0895,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:02:46.76,2024-04-19T19:02:46.7656492-04:00,2024-04-19T23:02:46.7656492Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,41f9b8f3-165c-4623-8cf5-1d673fe813d9,54.55904,-132.80613,14.3829,4.77146,-2.70407,-8.48116,-1.12589,5.33741,-4.66884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-19,19:03:01.20,1,2,"Kimball, Roman",695651,Right,SOU_GAM,"Stovall, Peyton",696510,Left,ARK_RAZ,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.95524,-0.427721,-2.02008,2184.918125,223.030197,1:30,4.90563,1.08261,5.45065,-18.70997,15.15434,13.06509,2.94578,0.27942,83.25276,-3.95397,0.304268,0.418835,,,,,,,,,,,,-7.20052,8.09902,-0.91364,50,4.8554,4.10099,-133.33516,-1.63094,-12.85419,30.90786,-17.71584,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,f8d4eb70-fea0-11ee-976f-6d81310e0852,89.99362,,,8.70248,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:03:01.20,2024-04-19T19:03:01.2082988-04:00,2024-04-19T23:03:01.2082988Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,60158a5f-bc61-4dbb-8b27-fa82ff9c2341,55.04712,-134.50002,15.45393,4.90428,-0.96326,-8.85792,-1.07733,4.58545,-6.4271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-19,19:03:27.31,1,3,"Kimball, Roman",695651,Right,SOU_GAM,"Stovall, Peyton",696510,Left,ARK_RAZ,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.92001,0.990533,-1.138062,2140.892236,212.986044,1:00,4.93022,1.26691,5.5788,-13.13694,20.80407,12.71674,4.76086,1.26361,82.53759,-1.571137,1.130203,0.419308,,,,,,,,,,,,-6.69213,10.47359,-1.17703,50,5.00699,2.03917,-133.19615,1.96457,-11.84917,32.45349,-13.62941,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,0866d210-fea1-11ee-976f-6d81310e0852,89.89191,,,9.38242,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:03:27.31,2024-04-19T19:03:27.3100076-04:00,2024-04-19T23:03:27.3100076Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,1fac06b8-cb7b-49e7-be73-8f64d7d4fe2e,54.91462,-134.38827,16.22675,4.92563,2.46522,-6.8147,-1.25993,2.47443,-5.92458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-04-19,19:03:46.41,1,4,"Kimball, Roman",695651,Right,SOU_GAM,"Stovall, Peyton",696510,Left,ARK_RAZ,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.57979,-0.028997,-0.912574,2195.137698,221.115865,1:15,4.74039,1.05419,5.89937,-15.21276,18.46666,15.08536,3.44574,1.46404,82.56204,-2.967305,1.794931,0.41769,,,,,,,,,,,,-7.9354,9.77044,-0.98908,50,4.72933,1.43848,-132.871,-0.48565,-14.00392,31.88508,-14.93174,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,13d46360-fea1-11ee-976f-6d81310e0852,90.24031,,,9.01775,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:03:46.41,2024-04-19T19:03:46.4186668-04:00,2024-04-19T23:03:46.4186668Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,a7d27031-deed-43b5-8bd0-23fe0785100d,54.59618,-133.9694,15.94254,4.7372,0.02873,-7.46587,-1.04694,1.9209,-7.00196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-19,19:04:13.98,1,5,"Kimball, Roman",695651,Right,SOU_GAM,"Stovall, Peyton",696510,Left,ARK_RAZ,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.19658,-0.475424,-1.538974,2191.261942,217.208154,1:15,4.72259,1.0376,5.82929,-16.78391,16.81717,11.97481,2.88182,0.60457,83.3585,-3.661614,0.607067,0.417204,,,,,,,,,,,,-6.53162,9.03473,-0.91904,50,4.67388,3.03687,-132.47239,-1.61244,-11.62389,27.90787,-16.09552,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,243b2630-fea1-11ee-976f-6d81310e0852,90.3454,,,7.83809,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:04:13.98,2024-04-19T19:04:13.9830000-04:00,2024-04-19T23:04:13.9830000Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,c1ff03cf-9e38-440a-954f-3443b83e3395,54.66919,-133.45242,13.95393,4.72058,-1.04722,-8.04776,-1.03284,3.44506,-5.81195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6002,2.182459,0.92201,1.260449,-1.01747,2.72238,-0.63244,-3.00966,4.5493,1.22479,77.29821,5.22931,-47.48596,-2.87772,70.84655,-5.71934,4.66384,19.0371,-14.72402,1.17639,-41.82718,2.54641,High,High,High,,,High,High,High
6,2024-04-19,19:04:46.99,2,1,"Kimball, Roman",695651,Right,SOU_GAM,"Aloy, Wehiwa",1000190012,Right,ARK_RAZ,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.47793,1.451307,-1.024093,2071.827916,212.483794,1:00,4.9307,0.95776,6.03503,-16.01162,18.04954,10.79524,4.94078,0.90897,82.13862,-1.627678,0.917871,0.42005,,,,,,,,,,,,-5.7739,9.14871,-0.88313,50,5.03506,1.87385,-131.34392,2.89386,-10.05032,28.74465,-16.24945,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,37e1f8d0-fea1-11ee-976f-6d81310e0852,89.73321,,,8.33931,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:04:46.99,2024-04-19T19:04:46.9905196-04:00,2024-04-19T23:04:46.9905196Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,52ae3152-3142-4403-bee1-79657948bbb0,54.46034,-132.31646,14.37233,4.92784,3.44365,-8.12472,-0.95229,2.21389,-5.02516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-19,19:05:05.38,2,2,"Kimball, Roman",695651,Right,SOU_GAM,"Aloy, Wehiwa",1000190012,Right,ARK_RAZ,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.75818,-0.510562,-2.131594,2108.98292,206.442119,1:00,4.85469,0.84471,6.06898,-15.1906,18.5008,8.67067,3.11599,-0.4062,82.80493,-3.428362,-0.571693,0.417764,77.74274,15.969031,172.824885,2174.77566,,,,,53.3909,,,-5.08591,10.0165,-0.6842,50,4.80701,4.54714,-131.82591,-1.59659,-8.94342,28.20627,-14.56029,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,42dc7d00-fea1-11ee-976f-6d81310e0852,90.22422,13.01088,,7.95325,,,,1.37995,3.05671,0.40355,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:05:05.38,2024-04-19T19:05:05.3898028-04:00,2024-04-19T23:05:05.3898028Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,63df3ac1-d7f3-4bed-b7a5-c4ed06f787f3,54.43001,-132.7704,14.10314,4.85231,-1.10904,-7.28014,-0.84147,4.84661,-4.47171,322.856612,1.37995,-108.76398,8.34326,-0.69707,0.12962,-0.0087,0.0049,-0.00483,0.00217,3.05671,31.36961,-24.80742,2.73849,-0.57428,0.1231,-0.02292,0.00453,-0.00054,0.40355,13.6921,-5.83168,0.97603,-0.20872,0.03904,-0.0083,0.00222,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-04-19,19:05:29.91,2,3,"Kimball, Roman",695651,Right,SOU_GAM,"Aloy, Wehiwa",1000190012,Right,ARK_RAZ,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.99617,3.147718,0.61488,2422.243717,84.969831,8:45,4.52495,1.13797,5.48411,-43.15018,0.32461,-12.18906,3.87724,0.69752,73.66457,-4.77508,-1.554522,0.474559,,,,,,,,,,,,6.25347,-0.25764,-1.18363,50,4.77225,-0.75207,-117.40457,4.9537,8.69863,22.93348,-32.5324,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,51869bb0-fea1-11ee-976f-6d81310e0852,79.42629,,,7.33161,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:05:29.91,2024-04-19T19:05:29.9108652-04:00,2024-04-19T23:05:29.9108652Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,4da1a397-3e1a-4264-a69f-9a42afade8a0,55.01366,-118.37988,11.46674,4.53216,6.33722,-16.2662,-1.14378,-1.122,4.34931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-19,19:05:57.07,2,4,"Kimball, Roman",695651,Right,SOU_GAM,"Aloy, Wehiwa",1000190012,Right,ARK_RAZ,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22003,0.328498,-2.501071,2096.630947,201.303383,12:45,4.77869,0.99769,6.04535,-14.72473,19.60607,7.20189,3.85605,-0.71912,81.79915,-2.521371,-1.206842,0.421709,,,,,,,,,,,,-4.40642,10.29268,-0.80645,50,4.79614,5.40586,-130.89137,0.37324,-7.60292,29.03124,-14.41492,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,61ab7380-fea1-11ee-976f-6d81310e0852,89.38012,,,8.42088,,,,,,,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:05:57.07,2024-04-19T19:05:57.0740524-04:00,2024-04-19T23:05:57.0740524Z,,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,82368609-b66b-4a77-8d8d-b6b26a9c7f92,54.45035,-131.87475,14.51562,4.77523,0.86152,-7.20746,-0.99393,5.6634,-3.80146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-19,19:06:15.81,2,5,"Kimball, Roman",695651,Right,SOU_GAM,"Aloy, Wehiwa",1000190012,Right,ARK_RAZ,Undefined,1,Top,1,3,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,90.6795,-0.64469,-2.686442,2135.823731,208.347502,1:00,4.7864,1.15642,5.99847,-15.3291,18.77647,9.5052,2.91092,-0.54262,82.15465,-3.599224,-0.979747,0.420324,110.44834,17.802253,-12.895451,986.452289,106.48105,29.84537,-27.59916,315.29649,315.29649,-18.325791,2.926864,-5.72768,10.20796,-0.95024,50,4.72735,5.77478,-131.55469,-1.90722,-9.95552,30.04003,-14.43121,SOU_GAM,ARK_RAZ,UofSouthCarolina,D1,SEC,20240419-UofSouthCarolina-1,6cd740e0-fea1-11ee-976f-6d81310e0852,89.67475,35.1931,,8.52485,,,,1.7052,3.05423,0.52939,ff9612dc-f941-4ec1-9c6d-4cbaf5971766,2024-04-19,23:06:15.81,2024-04-19T19:06:15.8149420-04:00,2024-04-19T23:06:15.8149420Z,LineDrive,v3,471441,3375,19 April 2024 19:00-arkansas@scarolina,"Messina, Cole",701783,Right,SOU_GAM,aad6eafd-7d48-48ca-a0d5-b82ce4467ea5,54.50007,-132.57828,15.02001,4.78396,-1.41549,-7.2156,-1.15279,6.11401,-4.97776,113.207999,1.70521,150.34367,-27.35209,6.27137,-1.45526,0.30632,-0.05539,0.00687,-0.0004,3.05423,49.52563,-21.35191,2.12907,-0.39486,0.07015,-0.01033,0.0013,-9E-05,0.5294,-34.42114,-2.46978,1.96569,-0.69081,0.18388,-0.03656,0.00472,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
