PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-20,14:02:40.18,1,1,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.4832,-1.827722,3.047599,2318.590493,137.985975,10:30,5.67674,-1.92916,6.33429,-13.70926,18.65647,-15.81576,2.84848,-0.43841,83.92638,-4.493143,0.189769,0.409462,,,,,,,,,,,,9.03008,10.52709,1.71355,50,5.53648,-6.46126,-134.1366,-4.61849,16.3541,30.63157,-13.10877,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,8facaa90-ff48-11ee-ba12-05508ae4a8c6,92.05349,,,8.55683,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:02:40.18,2024-04-20T14:02:40.1852164-05:00,2024-04-20T19:02:40.1852164Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,fc37e908-1e82-4509-b96f-113ebe4d97e4,54.16173,-135.08363,15.31579,5.673,-4.21321,-6.55439,1.92113,-6.96688,8.17705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-20,14:02:52.52,1,2,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.57639,-2.976029,2.354848,1620.117269,123.571832,10:00,5.66361,-1.72933,6.21623,-29.14612,10.41914,-13.81115,0.48366,-0.70596,76.91517,-8.395849,-0.141438,0.452719,,,,,,,,,,,,7.82406,6.61268,1.55963,50,5.42582,-4.46986,-121.27048,-7.17894,11.65858,23.57947,-22.32052,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,9706fd90-ff48-11ee-ba12-05508ae4a8c6,83.25798,,,6.66122,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:02:52.52,2024-04-20T14:02:52.5269252-05:00,2024-04-20T19:02:52.5269252Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,6ad2632f-be7e-4ec4-94ec-a2b24c035fa5,54.2825,-122.10032,11.78973,5.66465,-6.39341,-11.16026,1.72416,-4.88016,5.82929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-20,14:03:10.90,1,3,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.7624,-1.132488,1.618282,1766.889475,111.907402,9:45,5.64746,-1.90732,6.13191,-32.90029,7.22276,-15.03576,1.85848,-1.66416,76.49559,-7.230773,-1.095563,0.455899,,,,,,,,,,,,8.17784,4.4065,1.79125,50,5.5439,-2.8315,-120.33578,-3.39573,12.07226,21.87572,-25.66912,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,a207c350-ff48-11ee-ba12-05508ae4a8c6,82.67724,,,6.26682,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:03:10.90,2024-04-20T14:03:10.9022980-05:00,2024-04-20T19:03:10.9022980Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,d5ce3094-bbe8-483b-b865-ccf3a4d713a3,54.36737,-121.12712,10.93786,5.64995,-2.46717,-12.83456,1.90158,-3.26821,6.03613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-04-20,14:03:25.82,1,4,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.72734,-0.437887,1.904399,2313.024066,146.993777,11:00,5.75748,-1.87842,5.98856,-11.00335,21.97907,-13.47339,4.43448,-1.23559,82.97279,-2.635231,-0.516605,0.413345,40.55356,4.196872,172.823362,2299.443306,,,,37.16563,34.68392,174.246882,0.595534,7.4365,11.68776,1.73495,50,5.71653,-3.84589,-134.37849,-1.24226,13.33708,34.32527,-11.21243,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,aae051e0-ff48-11ee-ba12-05508ae4a8c6,91.18881,4.38772,,9.75455,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:03:25.82,2024-04-20T14:03:25.8269444-05:00,2024-04-20T19:03:25.8269444Z,GroundBall,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,95805dea-14dd-4993-80c0-54bf3dad3bbe,54.50399,-135.52409,17.16264,5.75175,-0.86805,-5.60622,1.87074,-4.29101,6.66854,304.639146,-3.068,-58.85424,2.96642,0.44756,-0.08573,0.05094,-0.0074,-0.0008,0.0001,4.14917,4.35286,-19.94054,1.72455,-0.30963,0.07433,-0.00431,0.00027,-0.00047,1.24429,7.41064,-5.63104,0.37763,-0.11642,-0.00393,0.00546,0.00132,-0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-04-20,14:03:45.09,1,5,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.45199,-1.838141,2.497565,2278.618467,140.594893,10:45,5.67003,-1.88077,6.10639,-14.08792,17.56001,-13.6239,2.79406,-0.70507,85.6358,-4.536898,0.044816,0.404896,,,,,,,,,,,,7.65433,9.83288,1.69562,50,5.52106,-5.32437,-135.69198,-4.7512,14.32899,28.5622,-13.76682,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,b7294f10-ff48-11ee-ba12-05508ae4a8c6,93.09155,,,7.81619,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:03:45.09,2024-04-20T14:03:45.0930436-05:00,2024-04-20T19:03:45.0930436Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,2e8175b9-c64d-42e0-84d6-bfbbf347ba29,54.39146,-136.61322,14.2811,5.66714,-4.30717,-6.88341,1.87481,-5.78654,7.1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-20,14:04:05.18,1,6,"Thompson, JD",1000072174,Left,VAN_COM,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.90941,-0.104782,1.376636,2246.08594,138.946789,10:45,5.70254,-1.95736,6.05315,-15.48709,16.27899,-13.41064,4.31493,-1.80038,85.74559,-3.044355,-1.037045,0.405652,,,,,,,,,,,,7.22713,8.68713,1.85733,50,5.68585,-2.67189,-135.16153,-0.7095,13.53162,26.11044,-15.90878,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,c2520f30-ff48-11ee-ba12-05508ae4a8c6,92.9182,,,7.16383,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:04:05.18,2024-04-20T14:04:05.1833604-05:00,2024-04-20T19:04:05.1833604Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,697d3411-863a-495a-9f99-cb0564eb2a89,54.44599,-136.01769,13.05522,5.70056,-0.18786,-7.95439,1.95221,-3.11559,6.76581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-20,14:04:39.41,2,1,"Thompson, JD",1000072174,Left,VAN_COM,"Caglianone, Jac",1000092909,Left,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.91483,-2.384748,3.759917,2261.726136,143.711519,10:45,5.66556,-1.7337,6.3213,-12.95977,18.90749,-13.14639,2.38328,0.63854,85.04937,-4.892575,1.388223,0.406297,83.69723,50.587191,-93.918865,5474.53713,,,,,29.63437,,,7.88989,10.80922,1.46484,50,5.48457,-8.32029,-134.76476,-5.95556,14.54737,28.57807,-12.24405,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,d6b55400-ff48-11ee-ba12-05508ae4a8c6,92.77066,35.79909,,7.86546,,,,0.9698,2.23832,-0.49633,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:04:39.41,2024-04-20T14:04:39.4108164-05:00,2024-04-20T19:04:39.4108164Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,f1b4a633-4be8-45b0-aa6b-d06041bab1fe,54.17814,-135.64788,14.28904,5.66276,-5.5772,-6.12202,1.7289,-8.76983,7.27368,39.850932,0.99114,-6.03984,-13.2119,,,,,,,2.25164,94.40172,-28.96602,,,,,,,-0.50924,-77.32953,15.09362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-04-20,14:05:02.43,2,2,"Thompson, JD",1000072174,Left,VAN_COM,"Caglianone, Jac",1000092909,Left,FLA_GAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.69703,-3.503785,5.1368,2435.278525,141.624952,10:45,5.6197,-1.69808,6.13321,-14.04454,17.86265,-13.29394,1.19379,1.95459,85.34808,-6.200929,2.754155,0.406552,,,,,,,,,,,,8.25611,10.50831,1.31136,50,5.34333,-11.58218,-135.36661,-8.70123,15.29342,30.01437,-12.7087,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,e4722c80-ff48-11ee-ba12-05508ae4a8c6,92.71255,,,8.34896,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:05:02.43,2024-04-20T14:05:02.4340228-05:00,2024-04-20T19:05:02.4340228Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,6cf522b5-3e85-4dec-b704-67af7fac385d,54.36342,-136.33066,15.00719,5.61626,-8.29303,-6.35435,1.69126,-12.0734,7.64671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-20,14:05:21.15,2,3,"Thompson, JD",1000072174,Left,VAN_COM,"Caglianone, Jac",1000092909,Left,FLA_GAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.45332,-3.476121,4.384219,2385.65201,145.253723,10:45,5.67367,-1.64649,6.16912,-12.45201,19.47737,-12.77276,1.41197,1.34644,85.20833,-5.889105,2.089588,0.406693,,,,,,,,,,,,7.77847,11.33221,1.32,50,5.40276,-9.80634,-135.18689,-8.54324,14.38302,29.69339,-11.21987,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,efa68560-ff48-11ee-ba12-05508ae4a8c6,92.68031,,,8.24499,,,,,,,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:05:21.15,2024-04-20T14:05:21.1597060-05:00,2024-04-20T19:05:21.1597060Z,,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,0d1eaab3-02cf-4355-8fd7-f3108428fbc6,54.32771,-136.13414,14.8467,5.66959,-8.18532,-5.60993,1.64015,-10.26517,7.19151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-20,14:05:46.21,2,4,"Thompson, JD",1000072174,Left,VAN_COM,"Caglianone, Jac",1000092909,Left,FLA_GAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,93.29621,-2.697679,4.294639,2412.468679,134.301229,10:30,5.60904,-1.7416,6.18227,-15.47993,16.45796,-15.79237,1.81914,0.91549,85.13756,-5.656394,1.454865,0.406747,102.80679,-11.303953,-13.099034,,,,,10.4343,10.16873,-15.933557,0.059946,9.39591,9.59497,1.42482,50,5.39681,-9.48154,-135.12712,-6.82943,17.35936,29.65275,-14.44688,VAN_COM,FLA_GAT,Vanderbilt,D1,SEC,20240420-Vanderbilt-1,fe8807c0-ff48-11ee-ba12-05508ae4a8c6,92.66797,1.77359,,8.15865,,,,1.39154,1.77359,-0.85357,1f2e6941-167a-4a64-9cca-9e989bb3333a,2024-04-20,19:05:46.21,2024-04-20T14:05:46.2129412-05:00,2024-04-20T19:05:46.2129412Z,GroundBall,v3,5046,471297,20 April 2024 15:00-florida@vandy,"Espinal, Alan",694541,Right,VAN_COM,5be95fd5-1bb4-49ff-8d0d-9abbc8cfce65,54.31673,-136.0711,14.82638,5.6069,-6.36952,-7.22344,1.73545,-10.03417,8.67968,180,1.3901,144.16015,,,,,,,,1.77388,-29.58622,,,,,,,,-0.85324,-33.54455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
