PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-23,18:02:23.25,1,1,"Snell, Kade",1000146371,Left,ALA_CRI,"Staton, Garrett",1000041098,Right,SAM_BUL,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.22915,-1.282953,2.067376,2180.933939,112.353753,9:45,5.64441,-1.82251,5.61429,-28.41773,7.53496,-15.19182,2.07781,-1.15802,80.67172,-6.554501,-0.646497,0.431556,,,,,,,,,,,,8.3002,4.61457,1.6556,50,5.51669,-3.98551,-129.30563,-3.91207,13.86002,30.41438,-24.46844,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,8be41360-01c5-11ef-afe1-41bb2700883d,87.34078,,,8.55743,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:02:23.25,2024-04-23T18:02:23.2550620-05:00,2024-04-23T23:02:23.2550620Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,bbfd9b80-f285-4564-9d63-154076ddc266,54.88507,-130.44961,15.20719,5.64652,-2.99175,-12.23422,1.81531,-4.50683,6.93001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-23,18:02:34.93,1,2,"Snell, Kade",1000146371,Left,ALA_CRI,"Staton, Garrett",1000041098,Right,SAM_BUL,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.43255,-0.959233,1.979179,2155.454664,109.418618,9:45,5.7026,-1.50952,5.61093,-27.45978,7.49036,-17.74217,2.51829,-1.13986,81.79965,-6.056457,-1.189854,0.425496,,,,,,,,,,,,9.59217,4.45906,1.35192,50,5.60302,-3.73297,-131.11085,-3.1864,16.48187,31.0508,-24.51221,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,92d74020-01c5-11ef-afe1-41bb2700883d,88.58468,,,8.6329,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:02:34.93,2024-04-23T18:02:34.9348572-05:00,2024-04-23T23:02:34.9348572Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,8b354970-9aba-44e4-b541-001e354ed088,54.88978,-132.26382,15.5254,5.70444,-2.27622,-12.2561,1.50189,-4.34497,8.24093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-23,18:02:47.06,1,3,"Snell, Kade",1000146371,Left,ALA_CRI,"Staton, Garrett",1000041098,Right,SAM_BUL,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.96024,0.203799,1.432211,2290.828939,293.798324,3:45,5.51039,-1.82064,5.27238,-51.33873,-4.00524,12.56757,1.42366,0.57227,71.50419,-9.1017,3.664903,0.495172,,,,,,,,,,,,-5.89465,-1.65811,1.67998,50,5.49098,-3.32194,-113.12511,-1.36826,-7.57976,22.12122,-34.30617,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,9a20f150-01c5-11ef-afe1-41bb2700883d,76.11993,,,6.45605,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:02:47.06,2024-04-23T18:02:47.0679772-05:00,2024-04-23T23:02:47.0679772Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,f0b403bf-cf63-4cce-9d83-dec6e0bb529f,55.23127,-114.14349,11.06061,5.51762,0.21106,-17.15308,1.82488,-2.973,-3.78988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-04-23,18:03:02.92,1,4,"Snell, Kade",1000146371,Left,ALA_CRI,"Staton, Garrett",1000041098,Right,SAM_BUL,Undefined,1,Top,0,1,2,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.73509,1.134425,2.85265,1917.453763,66.74059,8:15,5.449,-1.72559,5.53928,-48.70731,-3.69752,-12.18658,2.45185,-0.07259,72.49792,-7.778962,0.680079,0.482864,,,,,,,,,,,,7.04516,-1.78496,1.48633,50,5.51506,-5.2771,-115.57738,0.62984,9.43031,23.63712,-34.56329,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,a38e93f0-01c5-11ef-afe1-41bb2700883d,78.06017,,,7.23717,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:03:02.92,2024-04-23T18:03:02.9205212-05:00,2024-04-23T23:03:02.9205212Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,bc2453fe-fd14-4514-ab22-fda6cf23ea5d,54.9635,-116.58806,11.81856,5.45653,2.1077,-17.28165,1.72058,-5.68032,4.71515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-23,18:03:18.99,1,5,"Snell, Kade",1000146371,Left,ALA_CRI,"Staton, Garrett",1000041098,Right,SAM_BUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.49471,-2.255512,2.43919,2326.466369,167.081297,11:30,5.8739,-1.33404,5.9402,-20.0367,14.02182,-2.97189,2.10878,0.68248,82.9895,-6.01311,1.905834,0.420034,67.75143,53.633026,-6.645049,,109.98645,82.94116,-1.72311,156.60933,88.4613,-0.012732,4.852796,2.19429,8.14008,1.14109,50,5.68245,-5.46823,-131.30671,-5.81363,3.83773,27.34447,-17.93744,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,ad1c41b0-01c5-11ef-afe1-41bb2700883d,89.73667,89.49768,,7.50521,,,,0.49793,2.12395,-0.71045,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:03:18.99,2024-04-23T18:03:18.9947100-05:00,2024-04-23T23:03:18.9947100Z,Popup,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,40c16914-0998-4d3c-b953-0168493a5d50,54.56142,-132.25321,13.67223,5.87294,-5.19274,-8.96872,1.33266,-5.60106,1.91886,193.629929,0.50179,58.43282,-13.35996,2.69588,0.07473,-0.25156,0.07607,-0.00997,0.0005,2.12117,80.06852,-21.23255,1.95769,-0.43916,0.06497,0.00293,-0.00222,0.00018,-0.71215,-6.77512,4.77077,-1.22944,-0.0318,0.13348,-0.04246,0.00577,-0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2024-04-23,18:03:50.44,2,1,"Snell, Kade",1000146371,Left,ALA_CRI,"Howe, Garrett",1000051435,Left,SAM_BUL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.83396,0.923685,1.602812,2240.094517,305.295973,4:15,5.57697,-1.72674,4.6711,-57.31665,-6.36284,11.22764,1.67836,0.73172,69.85468,-9.333432,3.574885,0.513759,,,,,,,,,,,,-5.02957,-2.87264,1.55266,50,5.61901,-3.54225,-109.97204,-0.33135,-6.14636,19.88654,-35.68456,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,bfec6360-01c5-11ef-afe1-41bb2700883d,73.36593,,,5.97928,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:03:50.44,2024-04-23T18:03:50.4495324-05:00,2024-04-23T23:03:50.4495324Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,2190a2b6-bb6f-4755-8e32-a465f5b65be5,55.83269,-111.02177,9.94327,5.58679,1.5523,-17.84228,1.73108,-3.21781,-3.07318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-23,18:04:02.78,2,2,"Snell, Kade",1000146371,Left,ALA_CRI,"Howe, Garrett",1000051435,Left,SAM_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.31362,-2.06752,2.886666,2339.982352,168.463658,11:30,5.97824,-1.36382,5.85673,-16.56469,17.08836,-3.26713,2.67354,1.04833,83.42911,-5.206858,2.301859,0.417526,,,,,,,,,,,,2.46358,9.62371,1.13106,50,5.80034,-6.53156,-132.38909,-5.28357,4.37209,28.2751,-15.09495,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,c7359f60-01c5-11ef-afe1-41bb2700883d,90.27567,,,7.88451,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:04:02.78,2024-04-23T18:04:02.7847388-05:00,2024-04-23T23:04:02.7847388Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,a0e58376-bab8-45f9-9508-606b0fd83968,54.64306,-133.37705,14.13755,5.97574,-4.75614,-7.54747,1.36195,-6.68432,2.18605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-23,18:04:15.18,2,3,"Snell, Kade",1000146371,Left,ALA_CRI,"Howe, Garrett",1000051435,Left,SAM_BUL,Undefined,1,Top,1,1,1,Slider,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.76007,-1.45101,3.486046,2220.561865,129.80238,10:15,5.59131,-1.67189,6.00347,-25.99895,10.8639,-11.38367,2.07746,0.61358,78.95331,-6.340997,1.442289,0.436984,,,,,,,,,,,,6.94406,6.4667,1.40329,50,5.46295,-7.25258,-127.01907,-4.04874,11.14107,30.37192,-21.79885,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,ce9bb230-01c5-11ef-afe1-41bb2700883d,86.25582,,,8.80676,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:04:15.18,2024-04-23T18:04:15.1865564-05:00,2024-04-23T23:04:15.1865564Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,3d4fc6f7-91aa-4f39-a64c-4182eedb91d9,54.49418,-128.08918,15.18596,5.59207,-3.28069,-10.89942,1.66574,-7.64512,5.57053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-23,18:04:27.37,2,4,"Snell, Kade",1000146371,Left,ALA_CRI,"Howe, Garrett",1000051435,Left,SAM_BUL,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.27465,-0.957938,1.830982,2285.386963,287.248958,3:30,5.50267,-1.69622,5.13565,-49.04853,-1.5861,10.3276,0.51262,0.88929,71.58234,-9.824221,3.661656,0.495846,,,,,,,,,,,,-4.59524,-0.0522,1.51601,50,5.37477,-4.04075,-113.43801,-3.61524,-5.91364,23.14853,-32.24125,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,d5e7ad50-01c5-11ef-afe1-41bb2700883d,76.01648,,,6.6923,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:04:27.37,2024-04-23T18:04:27.3763978-05:00,2024-04-23T23:04:27.3763978Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,2f37bf47-2bbc-439f-8d96-04d1636fb4a4,55.36658,-114.5279,11.57426,5.50925,-2.09725,-16.12063,1.6997,-3.76233,-2.95682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-23,18:04:45.31,2,5,"Snell, Kade",1000146371,Left,ALA_CRI,"Howe, Garrett",1000051435,Left,SAM_BUL,Undefined,1,Top,1,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.63522,-0.966536,4.083601,2279.030837,126.106557,10:15,5.58503,-1.46,6.035,-26.53643,9.04422,-10.81115,2.47625,1.42705,80.88038,-5.918609,2.14403,0.429317,,,,,,,,,,,,6.66992,5.29382,1.14602,50,5.49511,-8.71177,-128.43524,-3.04181,11.1198,27.07591,-23.34843,ALA_CRI,SAM_BUL,SwellThomasStadium,D1,SEC,20240423-SwellThomasStadium-1,e08bfb30-01c5-11ef-afe1-41bb2700883d,87.79622,,,7.75484,,,,,,,f7ef216b-0de7-4389-8575-944db881f4e0,2024-04-23,23:04:45.31,2024-04-23T18:04:45.3165706-05:00,2024-04-23T23:04:45.3165706Z,,v3,471226,471431,23 April 2024 19:00-samford@alabama,"Guscette, Mac",1000035909,Right,ALA_CRI,6133a25f-de5a-4d27-ad6d-c154444bad03,54.46493,-129.37308,13.53796,5.58646,-2.23308,-11.67422,1.45445,-9.09693,5.5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
