PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-23,19:03:24.37,1,1,"Harris, Zach",90000235966,Right,GEO_BUL,"Mathes, Alden",806307,Left,CLE_TIG,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,95.75006,-0.720257,-4.576876,2290.963469,245.908167,2:15,5.51399,3.48586,5.32843,-22.08804,9.49398,18.73418,2.99529,0.74327,86.43902,-4.823968,-1.26249,0.404475,97.42642,39.267367,-2.075106,3809.859434,109.69265,87.58655,-8.21076,348.45839,348.39424,-8.613864,5.855883,-10.84682,5.29339,-3.0856,50,5.43305,10.17908,-138.46336,-2.5982,-20.84358,33.85154,-22.00211,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,b1282d00-01c5-11ef-8bca-a3c91423144b,93.18861,123.05051,,9.31105,,,,1.39613,2.86018,-0.73309,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:03:24.37,2024-04-23T19:03:24.3700430-04:00,2024-04-23T23:03:24.3700430Z,FlyBall,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,e5226069-c3fc-4778-95dd-a6c0e74d17f3,55.17141,-139.72194,16.92577,5.51445,-1.78017,-11.00105,-3.47846,10.95404,-10.42179,170.489106,1.40406,110.4087,-25.04676,5.89847,-0.83527,0.03921,0.00678,-0.00104,4E-05,2.8578,90.47621,-19.27299,1.09359,-0.07853,-0.03287,0.01422,-0.00208,0.0001,-0.73232,-4.01894,-2.0201,0.40224,-0.04407,-0.00061,0.00076,-7E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2024-04-23,19:04:06.87,2,1,"Harris, Zach",90000235966,Right,GEO_BUL,"Hinderleider, Jacob",688871,Right,CLE_TIG,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.77562,-0.539632,-4.901027,2220.990597,250.605699,2:15,5.36542,3.34373,5.14186,-23.57871,7.99776,19.74584,2.89054,0.3632,87.06424,-4.878442,-1.42198,0.404439,,,,,,,,,,,,-11.16426,4.44359,-2.89948,50,5.29677,10.88281,-138.50074,-2.26728,-21.65254,31.37426,-23.55593,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,ca7f2510-01c5-11ef-8bca-a3c91423144b,93.19679,,,8.71138,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:04:06.87,2024-04-23T19:04:06.8734670-04:00,2024-04-23T23:04:06.8734670Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,f52c22a5-23d0-4ece-bc28-9b908b813812,55.35771,-139.70914,15.68713,5.36662,-1.36001,-11.77796,-3.3347,11.71677,-10.82627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-23,19:04:28.32,2,2,"Harris, Zach",90000235966,Right,GEO_BUL,"Hinderleider, Jacob",688871,Right,CLE_TIG,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.19962,1.624458,-3.839226,2543.86444,4.020754,6:15,5.29868,3.40402,4.91126,-50.59637,-10.53445,-0.82654,2.62229,-0.30071,78.20414,-7.458412,-3.98448,0.455551,91.41481,37.417996,49.815305,4759.716843,,,,,131.67179,,,-0.65606,-5.33134,-3.02775,50,5.41471,8.31708,-123.38552,1.46855,-1.01165,24.49174,-40.39496,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,d75239d0-01c5-11ef-8bca-a3c91423144b,82.7403,84.88381,,6.99548,,,,0.67494,2.61266,0.40835,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:04:28.32,2024-04-23T19:04:28.3286734-04:00,2024-04-23T23:04:28.3286734Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,1294c726-b227-402d-ade8-04445fc5bb49,55.59128,-124.49043,12.24587,5.30735,3.29091,-20.19748,-3.40399,8.36272,-0.50582,,0.67494,68.7101,-21.9912,5.73813,-1.44888,0.31148,-0.0618,0.00943,-0.0007,2.61266,81.46727,-22.02107,2.61423,-0.49803,0.09298,-0.01493,0.00229,-0.00024,0.40835,81.35152,-7.76543,-0.40321,0.48818,-0.20079,0.05448,-0.01068,0.00105,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-04-23,19:05:00.78,2,3,"Harris, Zach",90000235966,Right,GEO_BUL,"Hinderleider, Jacob",688871,Right,CLE_TIG,Undefined,1,Top,1,0,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.81264,-0.832641,-5.163648,2386.225561,234.286418,1:45,5.42596,3.3946,5.09358,-18.05745,12.96115,16.58233,3.13322,-0.10312,87.86201,-4.193847,-2.248424,0.400851,,,,,,,,,,,,-9.63705,6.96603,-2.91881,50,5.33322,11.78631,-139.8806,-2.73643,-19.05692,32.12542,-18.39899,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,eaa8c990-01c5-11ef-8bca-a3c91423144b,94.03114,,,8.95063,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:05:00.78,2024-04-23T19:05:00.7870000-04:00,2024-04-23T23:05:00.7870000Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,02537850-67bf-4d6e-8fc1-51d00492a41c,55.40456,-141.11637,16.06271,5.42487,-2.02868,-9.1995,-3.38629,12.51937,-9.52846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.23774,2.455972,0.999526,1.456445,-1.85399,2.88641,0.22649,-6.67681,2.36783,4.93274,75.46663,8.26724,49.31949,-6.50929,62.68536,-4.3685,2.54982,26.25513,-15.29619,4.9327,31.80157,-0.91076,High,High,High,,,High,High,High
5,2024-04-23,19:05:39.95,3,1,"Harris, Zach",90000235966,Right,GEO_BUL,"Wright, Blake",694543,Right,CLE_TIG,Undefined,1,Top,2,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.15689,-1.797776,-5.111973,2287.19252,252.959611,2:30,5.45114,3.2311,5.16647,-24.73167,7.19559,20.08603,1.69086,0.08098,86.8675,-6.329839,-1.571072,0.406679,,,,,,,,,,,,-11.52182,4.37319,-2.76979,50,5.26399,11.34256,-137.57847,-5.33441,-22.0887,30.45061,-23.7901,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,01ffd2f0-01c6-11ef-8bca-a3c91423144b,92.68341,,,8.28938,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:05:39.95,2024-04-23T19:05:39.9554254-04:00,2024-04-23T23:05:39.9554254Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,ef17668a-52db-4000-88df-ec718a0cb95f,55.33538,-138.75434,15.22531,5.45224,-4.41574,-11.89505,-3.22426,12.19553,-11.04435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-23,19:06:11.78,3,2,"Harris, Zach",90000235966,Right,GEO_BUL,"Wright, Blake",694543,Right,CLE_TIG,Undefined,1,Top,2,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,96.70417,-1.570874,-4.089892,2491.456488,241.765746,2:00,5.4148,3.4493,5.02289,-20.93269,10.0215,16.82426,2.18388,0.98528,88.35792,-5.42043,-1.127077,0.400434,69.55926,10.552757,2.277075,2208.514302,,,,114.20763,56.81342,5.655326,1.272304,-9.51123,5.68693,-3.0716,50,5.24745,9.17044,-139.99591,-4.70438,-18.91116,31.05121,-20.86672,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,14f1ad70-01c6-11ef-8bca-a3c91423144b,94.12893,7.44728,,8.34626,,,,1.73999,2.22378,-0.99461,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:06:11.78,2024-04-23T19:06:11.7865678-04:00,2024-04-23T23:06:11.7865678Z,GroundBall,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Gonzalez, Fernando",692232,Right,GEO_BUL,37bd5723-899b-4be5-acf7-dc14869a0866,55.47811,-141.20573,15.5256,5.41491,-3.89137,-10.43336,-3.44326,9.90726,-9.45558,262.095545,1.73999,100.21531,-11.29868,1.61158,-0.22288,-0.06149,0.06829,-0.02919,0.0051,2.22378,18.6841,-17.31819,1.19565,-0.25941,0.14203,-0.08561,0.03446,-0.00598,-0.99461,3.98525,5.87587,-1.39132,-0.011,0.46635,-0.40353,0.17112,-0.02989,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-04-23,19:09:22.51,1,1,"Barlow, Billy",1000079100,Right,CLE_TIG,"Goldstein, Dylan",687408,Left,GEO_BUL,Undefined,1,Bottom,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.34021,-2.391778,-4.245765,2364.572011,233.984416,1:45,5.78817,1.90061,5.68481,-18.95194,13.74572,17.3545,1.97201,-0.61795,84.70431,-5.95558,-1.15269,0.411557,,,,,,,,,,,,-10.02788,8.01359,-1.55353,50,5.57447,9.2239,-135.02829,-6.29328,-18.3998,31.09373,-17.47022,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,86a976a0-01c6-11ef-8bca-a3c91423144b,91.58504,,,8.63589,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:09:22.51,2024-04-23T19:09:22.5156302-04:00,2024-04-23T23:09:22.5156302Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Obertop, Jimmy",687616,Right,CLE_TIG,1d38b7a7-a6bd-4dae-834f-0c9adf3fe609,54.81372,-136.13226,15.54687,5.7869,-5.67301,-8.73511,-1.89261,9.87718,-9.1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-23,19:09:37.02,1,2,"Barlow, Billy",1000079100,Right,CLE_TIG,"Goldstein, Dylan",687408,Left,GEO_BUL,Undefined,1,Bottom,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.53587,-1.663171,-1.866295,2321.199738,240.451454,2:00,5.81842,1.92236,5.40392,-21.78883,11.77276,18.70942,2.44302,1.73212,83.8641,-5.720951,1.4622,0.416958,,,,,,,,,,,,-9.90501,6.76433,-1.76933,50,5.65525,3.47832,-134.10888,-4.68641,-17.87034,31.53239,-19.97004,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,8f4b16b0-01c6-11ef-8bca-a3c91423144b,90.39858,,,8.67176,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:09:37.02,2024-04-23T19:09:37.0290382-04:00,2024-04-23T23:09:37.0290382Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Obertop, Jimmy",687616,Right,CLE_TIG,a1ba8cf2-1f96-4026-9dd4-541869891620,55.09379,-135.30125,15.76619,5.81819,-3.93126,-9.98502,-1.91364,4.15407,-8.93517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-23,19:09:52.30,1,3,"Barlow, Billy",1000079100,Right,CLE_TIG,"Goldstein, Dylan",687408,Left,GEO_BUL,Undefined,1,Bottom,0,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.67732,-1.941368,-4.147946,2384.205801,233.988097,1:45,5.81426,1.87835,5.75737,-20.40509,12.49902,15.7041,2.30129,-0.68082,84.48616,-5.762249,-1.344898,0.412854,,,,,,,,,,,,-9.13315,7.2354,-1.54339,50,5.6405,9.02214,-134.19869,-5.25351,-16.62949,29.4646,-18.99998,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,986716e0-01c6-11ef-8bca-a3c91423144b,91.29724,,,8.19116,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:09:52.30,2024-04-23T19:09:52.3086030-04:00,2024-04-23T23:09:52.3086030Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Obertop, Jimmy",687616,Right,CLE_TIG,9ec6ad22-e961-4ee4-a027-52463f7ba228,54.74155,-135.23573,14.7323,5.81363,-4.58478,-9.49999,-1.87124,9.60743,-8.31475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-23,19:10:08.36,1,4,"Barlow, Billy",1000079100,Right,CLE_TIG,"Goldstein, Dylan",687408,Left,GEO_BUL,Undefined,1,Bottom,0,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.03079,-2.579366,-2.200922,2414.362047,230.582132,1:45,5.78035,2.09174,5.45157,-19.04036,13.01764,14.6356,1.77549,1.2499,86.35382,-6.114946,0.404118,0.407511,,,,,,,,,,,,-7.94048,7.54111,-1.90774,50,5.53949,4.5533,-136.38095,-6.8367,-15.02689,28.64809,-17.90295,GEO_BUL,CLE_TIG,UGeorgia,D1,SEC,20240423-UGeorgia-1,a1fab810-01c6-11ef-8bca-a3c91423144b,92.4942,,,7.67697,,,,,,,330de274-f476-42d2-9ad2-4244989f7bce,2024-04-23,23:10:08.36,2024-04-23T19:10:08.3626702-04:00,2024-04-23T23:10:08.3626702Z,,v3,226,471272,23 April 2024 19:00-clemson@georgia,"Obertop, Jimmy",687616,Right,CLE_TIG,95ad234b-53ad-40f4-a4e7-299438d848d3,55.04821,-137.43728,14.32405,5.77941,-6.17657,-8.95148,-2.08585,5.10738,-7.51345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
