PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-26,18:15:27.18,1,1,"Smith, Hagen",696146,Left,ARK_RAZ,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,100.04201,-1.995552,3.974855,2488.920872,134.33961,10:30,5.59254,-3.36209,5.87373,-12.97552,15.08143,-14.5032,2.65255,-0.8729,91.18598,-4.473906,1.380996,0.381234,,,,,,,,,,,,8.48792,8.52784,3.04843,50,5.42317,-9.3734,-144.94042,-5.4742,18.05611,33.87224,-14.03302,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,e1285250-0422-11ef-8035-e5890a5c743e,98.86959,,,8.85602,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:15:27.18,2024-04-26T18:15:27.1830050-05:00,2024-04-26T23:15:27.1830050Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,e48789f8-8389-4b8d-a90a-07131f84d2d0,54.62503,-146.01728,16.93612,5.59011,-5.02807,-7.01651,3.35555,-9.94743,9.02805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-26,18:15:44.58,1,2,"Smith, Hagen",696146,Left,ARK_RAZ,"Evans, Ty",1000093793,Right,FLA_GAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,100.18475,-3.043041,4.621403,2560.809876,128.042897,10:15,5.52789,-3.38494,5.92366,-15.36698,12.92816,-15.22721,1.41169,-0.35621,90.51654,-5.962406,1.898114,0.382849,106.64227,5.322167,1.090474,3051.272652,,,,135.93915,135.93915,2.282567,1.010978,9.25308,7.86642,3.02323,50,5.27484,-10.98394,-144.79221,-8.2387,19.42632,37.29406,-15.6589,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,eb831410-0422-11ef-8035-e5890a5c743e,98.45256,4.57821,,9.66821,,,,0.97287,1.39712,0.34113,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:15:44.58,2024-04-26T18:15:44.5851682-05:00,2024-04-26T23:15:44.5851682Z,GroundBall,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,bc424131-20c6-41a6-9ba3-619240b7b874,54.57505,-145.96584,18.64703,5.52636,-7.74592,-7.82945,3.37851,-11.59529,9.71316,249.303006,1.16796,153.03395,-19.78568,,,,,,,1.46001,13.65273,-14.98827,,,,,,,0.31159,3.37336,1.68039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
3,2024-04-26,18:16:17.00,2,1,"Smith, Hagen",696146,Left,ARK_RAZ,"Caglianone, Jac",1000092909,Left,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,100.32172,-2.934327,4.373747,2521.052504,145.032921,10:45,5.61632,-3.23076,5.82441,-10.03008,18.17269,-12.02371,2.04218,-0.1587,90.85398,-4.893921,2.228066,0.382223,98.76153,20.354153,3.272503,3401.33421,109.99628,39.13678,0.82959,324.75146,324.75146,-7.599982,4.210652,7.49839,10.47733,2.88004,50,5.36997,-10.52966,-145.08717,-7.73892,15.86291,36.3329,-10.00918,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,fed90790-0422-11ef-8035-e5890a5c743e,98.61361,53.68939,,9.46774,,,,1.95823,2.11863,0.18361,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:16:17.00,2024-04-26T18:16:17.0014242-05:00,2024-04-26T23:16:17.0014242Z,LineDrive,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,b5783fa7-4df4-4054-8304-beac0fda441c,54.6752,-146.25325,18.16645,5.61319,-7.41768,-5.00459,3.22615,-11.03877,7.93146,153.145204,1.95836,135.57908,-29.2416,6.9084,-1.39667,0.22083,-0.02224,0.00081,4E-05,2.11913,50.37077,-12.00034,-0.27492,-0.00858,0.08137,-0.0328,0.00575,-0.00038,0.18352,7.75386,-9.24065,2.33084,-0.48833,0.07786,-0.00783,0.00032,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-04-26,18:17:01.60,3,1,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.94443,0.727104,3.04401,2727.251727,283.570875,3:30,5.74392,-3.06168,5.73315,-37.09994,-0.31917,5.4067,3.33038,0.2263,80.68722,-6.054322,4.009213,0.436497,,,,,,,,,,,,-2.02181,-0.02894,2.80445,50,5.78159,-6.94013,-126.3129,0.27597,-3.30808,22.65484,-32.22138,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,1973f150-0423-11ef-8035-e5890a5c743e,86.35203,,,6.2572,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:17:01.60,2024-04-26T18:17:01.6082466-05:00,2024-04-26T23:17:01.6082466Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,57dd5b64-c5ff-4ee9-8d36-e885bd20a71d,54.76816,-127.16522,11.32742,5.74841,1.4882,-16.11069,3.06321,-6.81568,-1.65404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-26,18:17:18.15,3,2,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.98135,-1.256667,4.133537,2606.7938,308.640459,4:15,5.71522,-3.09167,5.64052,-40.27262,-2.74437,4.89819,1.18361,1.17928,79.98393,-8.577963,5.005908,0.440911,,,,,,,,,,,,-1.31728,-0.74642,2.73671,50,5.58217,-9.30829,-126.01191,-4.2293,-2.11049,26.46445,-33.36992,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,23564ec0-0423-11ef-8035-e5890a5c743e,85.4877,,,6.99742,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:17:18.15,2024-04-26T18:17:18.1536802-05:00,2024-04-26T23:17:18.1536802Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,309c68ba-d16a-4008-b603-62f5b9d6b1f8,54.86058,-127.02861,13.23222,5.72002,-2.94732,-16.68496,3.09275,-9.22721,-1.05524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-26,18:17:55.92,3,3,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.50827,0.139158,4.676357,2646.611724,322.305942,4:45,5.85964,-3.0604,5.69572,-39.11333,-1.59165,2.05335,2.73031,1.47836,80.01327,-6.988374,5.041552,0.440872,,,,,,,,,,,,0.15539,-0.50909,2.66555,50,5.84684,-10.34112,-125.37996,-1.10257,0.24923,23.53212,-32.99064,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,39dd0fd0-0423-11ef-8035-e5890a5c743e,85.4952,,,6.495,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:17:55.92,2024-04-26T18:17:55.9242786-05:00,2024-04-26T23:17:55.9242786Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,05364020-85d4-4a87-8de8-16cb59161dc2,54.80504,-126.27858,11.76606,5.86489,0.15724,-16.49532,3.06063,-10.35063,0.12462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-26,18:18:12.96,3,4,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,98.31776,-1.535568,3.95706,2555.88935,128.788611,10:15,5.69513,-3.17898,6.01448,-14.79788,14.51682,-16.71379,3.03576,-0.90035,88.30083,-4.381214,0.959173,0.389686,43.16492,52.06609,-123.729799,5804.289543,,,,,22.60138,,,9.86697,8.26662,2.87725,50,5.56644,-9.06454,-142.3073,-4.28128,19.90373,37.62849,-15.49855,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,43f65bc0-0423-11ef-8035-e5890a5c743e,96.72528,26.8486,,10.01693,,,,0.88242,3.07849,0.87449,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:18:12.96,2024-04-26T18:18:12.9677858-05:00,2024-04-26T23:18:12.9677858Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,03919d12-15aa-45e2-ab41-c76be98b10cb,54.48314,-143.48783,18.81425,5.69313,-3.79504,-7.74927,3.17143,-9.68899,9.95187,39.72166,0.88242,-21.61072,-1.99201,0.94815,-0.72567,1.97648,-4.12776,4.46909,-1.90437,3.07849,49.93268,-20.85604,1.66318,-0.35656,0.17178,-0.27176,0.28119,-0.1162,0.87449,-32.36765,4.80171,-1.1279,0.47709,-1.0968,2.27947,-2.46071,1.04616,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-04-26,18:18:49.26,3,5,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8287,0.666683,4.560314,2747.080349,299.244689,4:00,5.82387,-3.23639,5.51888,-39.14199,-1.73835,4.94166,3.1874,1.44831,80.44775,-6.441845,5.435946,0.440178,,,,,,,,,,,,-1.36244,-0.72394,2.83515,50,5.85568,-10.24803,-125.85953,0.01764,-2.20763,23.10778,-33.34709,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,59a3acc0-0423-11ef-8035-e5890a5c743e,85.62998,,,6.38095,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:18:49.26,2024-04-26T18:18:49.2656162-05:00,2024-04-26T23:18:49.2656162Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,53bf8541-7212-4e5d-aa22-f1c9dced48b2,54.98228,-126.77098,11.55389,5.82905,1.33296,-16.67354,3.23765,-10.16095,-1.10382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-26,18:19:11.15,3,6,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelton, Colby",1000092133,Left,FLA_GAT,Undefined,1,Top,1,3,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,97.64586,-0.446346,2.75251,2413.847046,143.471407,10:45,5.6256,-3.2128,6.19504,-11.39371,17.3778,-12.24761,4.26357,-1.69038,89.64225,-2.649552,0.545099,0.386058,,,,,,,,,,,,7.14115,9.43064,3.01192,50,5.58624,-6.3038,-141.93717,-1.42765,14.66393,30.48397,-12.80876,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,66a6ab20-0423-11ef-8035-e5890a5c743e,97.63411,,,8.00361,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:19:11.15,2024-04-26T18:19:11.1560738-05:00,2024-04-26T23:19:11.1560738Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,e90517dd-7f3e-4cc7-b3ae-76e846335eb2,54.30682,-142.85915,15.24199,5.62356,-1.04025,-6.40438,3.20928,-6.74731,7.33197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-26,18:20:25.87,4,1,"Smith, Hagen",696146,Left,ARK_RAZ,"Shelnut, Tyler",1000051632,Right,FLA_GAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,96.42167,-1.601708,3.767388,2271.100015,142.270489,10:45,5.4956,-3.29202,6.05211,-12.59001,17.02414,-12.51957,2.96015,-0.84285,88.94113,-4.007117,1.520496,0.391671,,,,,,,,,,,,7.36737,9.42733,3.00534,50,5.36383,-8.66413,-139.97085,-4.29093,14.79842,27.8987,-13.2379,ARK_RAZ,FLA_GAT,BaumStadium,D1,SEC,20240426-BaumStadium-1,9339a610-0423-11ef-8035-e5890a5c743e,96.23506,,,7.48054,,,,,,,372095d9-640d-4b33-b365-18886ee1ea8e,2024-04-26,23:20:25.87,2024-04-26T18:20:25.8784290-05:00,2024-04-26T23:20:25.8784290Z,,v3,3375,471297,26 April 2024 19:00-florida@arkansas,"White, Hudson",10068772,Right,ARK_RAZ,e7dd6218-4736-4c2e-ba5a-af4946dd1430,54.44856,-140.85474,13.94935,5.49313,-3.87153,-6.61895,3.28727,-9.13298,7.39921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
