PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-17,19:02:42.58,1,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Miller, Gage",1000249779,Right,ALA_CRI,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.38736,-2.607646,-2.135064,2394.523656,211.597841,1:00,6.31511,0.93626,5.62334,-10.10308,20.32029,11.8976,3.03638,-0.06563,87.99199,-4.57112,-0.012237,0.396986,,,,,,,,,,,,-6.58929,11.28772,-0.76184,50,6.08613,4.64241,-139.7683,-6.63592,-13.04688,31.22195,-9.82423,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,f3287c40-14a9-11ef-a1e3-4f5a61f5c185,94.94657,,,8.39537,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:02:42.58,2024-05-17T19:02:42.5800760-05:00,2024-05-18T00:02:42.5800760Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,e2d8c4c2-9d76-40b9-8e07-8a3004930b74,54.87614,-140.85333,15.61097,6.31081,-6.2945,-4.91212,-0.93105,5.09582,-6.52344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-17,19:03:00.11,1,2,"Allsup, Chase",1000112387,Right,AUB_TIG,"Miller, Gage",1000249779,Right,ALA_CRI,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.21459,-1.009358,-1.63119,2309.649227,85.863524,8:45,5.85845,1.21024,5.38064,-39.22085,0.75476,-5.87418,1.64337,-0.80881,77.84425,-8.131922,-2.676577,0.45506,,,,,,,,,,,,2.52421,1.01213,-1.05995,50,5.74028,3.72938,-122.29289,-3.58547,3.84058,23.05915,-30.63407,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,fda6a480-14a9-11ef-a1e3-4f5a61f5c185,82.82951,,,6.37034,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:03:00.11,2024-05-17T19:03:00.1163832-05:00,2024-05-18T00:03:00.1163832Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,260e69ca-3d1e-4612-b735-68bc4892a198,55.1206,-123.25463,11.52957,5.86318,-2.30779,-15.31704,-1.21215,3.5692,1.92029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-17,19:03:18.47,1,3,"Allsup, Chase",1000112387,Right,AUB_TIG,"Miller, Gage",1000249779,Right,ALA_CRI,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,97.31506,-2.132579,-0.852538,2353.0354,205.159975,12:45,6.3144,0.77507,5.55248,-7.64079,22.37127,10.03851,3.68378,0.81492,88.41873,-3.662556,0.93728,0.394293,,,,,,,,,,,,-5.27729,12.16713,-0.70794,50,6.12494,1.60555,-141.14411,-5.40182,-10.60683,33.2223,-7.71931,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,08884980-14aa-11ef-a1e3-4f5a61f5c185,95.59492,,,8.89633,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:03:18.47,2024-05-17T19:03:18.4727096-05:00,2024-05-18T00:03:18.4727096Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,98900fe3-689f-49a1-a83c-a33dba8c4640,54.94564,-142.30345,16.61115,6.30875,-5.13245,-3.85966,-0.77042,1.97569,-5.30341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-17,19:03:50.16,2,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Petrutz, Ian",1000243586,Left,ALA_CRI,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.70173,-3.416228,-1.892347,2363.151618,216.029533,1:15,6.31721,1.0467,5.66144,-12.03835,17.95107,12.40375,2.12277,0.31504,89.04836,-5.702935,0.323365,0.394144,,,,,,,,,,,,-6.75201,10.24327,-0.89444,50,6.02013,4.04836,-140.26644,-8.74688,-13.57175,29.07731,-11.58475,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,1b70d530-14aa-11ef-a1e3-4f5a61f5c185,95.63103,,,7.65337,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:03:50.16,2024-05-17T19:03:50.1618232-05:00,2024-05-18T00:03:50.1618232Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,04426392-7aec-4612-bb7f-4366591313a8,54.83915,-141.26604,14.53866,6.31398,-8.34863,-5.79238,-1.04163,4.51492,-6.78588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-05-17,19:04:06.53,2,2,"Allsup, Chase",1000112387,Right,AUB_TIG,"Petrutz, Ian",1000243586,Left,ALA_CRI,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.58123,-3.084586,-3.341658,2285.17055,215.311678,1:15,6.25413,0.93194,6.08573,-11.48119,18.25092,12.27221,2.43612,-1.14033,88.5431,-5.299819,-1.136053,0.39245,,,,,,,,,,,,-7.19083,10.49902,-0.68001,50,6.00912,7.62567,-140.01357,-7.86558,-14.3426,30.19939,-11.23303,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,2531a0e0-14aa-11ef-a1e3-4f5a61f5c185,96.04394,,,8.03813,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:04:06.53,2024-05-17T19:04:06.5335352-05:00,2024-05-18T00:04:06.5335352Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,0820ba55-234f-42ec-9642-9ed2f0a70d58,54.4147,-140.96255,15.0997,6.25074,-7.5126,-5.61652,-0.92672,8.07637,-7.1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-17,19:04:23.85,2,3,"Allsup, Chase",1000112387,Right,AUB_TIG,"Petrutz, Ian",1000243586,Left,ALA_CRI,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,88.81853,-1.555457,-2.260224,1487.766684,232.4794,1:45,5.9012,1.15,5.48523,-26.03045,9.69351,11.25375,2.27522,-0.02796,81.93016,-6.345756,-0.255681,0.430181,72.69563,14.629008,8.018189,2397.939066,109.6985,13.35407,8.13857,169.22158,169.22158,2.206289,1.937609,-6.31323,5.60303,-0.95984,50,5.74699,4.60872,-128.96953,-4.43652,-10.71527,24.88505,-22.66421,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,2f862110-14aa-11ef-a1e3-4f5a61f5c185,87.61997,14.36895,,6.88837,,,,2.50513,2.5404,0.0517,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:04:23.85,2024-05-17T19:04:23.8592568-05:00,2024-05-18T00:04:23.8592568Z,LineDrive,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,7db6f9e3-dffd-4014-ac81-57291c172e98,55.01704,-129.93398,12.44253,5.90191,-3.55815,-11.3321,-1.14651,5.02401,-5.35764,113.379853,2.50513,102.15508,-10.58289,1.56535,-0.26773,0.03479,-0.00461,0.00079,-7E-05,2.5404,26.92789,-16.06451,0.93175,-0.12601,0.02503,-0.00184,0.00012,-3E-05,0.0517,14.39002,-7.99967,1.77164,-0.41588,0.07859,-0.01389,0.00203,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-05-17,19:05:27.36,3,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,1,0,0,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,1,84.33021,-2.316726,-1.681926,2304.915553,86.762325,9:00,5.74687,1.31708,5.79802,-38.3688,1.04539,-2.79103,0.39248,-0.48039,77.90217,-9.321336,-2.183031,0.451853,,,,,,,,,,,,0.9715,1.50457,-1.17705,50,5.53306,3.70429,-122.42437,-6.25914,1.47534,24.02921,-29.88922,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,55628310-14aa-11ef-a1e3-4f5a61f5c185,83.41739,,,6.42804,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:05:27.36,2024-05-17T19:05:27.3617976-05:00,2024-05-18T00:05:27.3617976Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,8380218a-8a64-4ef0-878b-e9983f1c6f72,54.70379,-123.34417,12.01461,5.75076,-5.11503,-14.94461,-1.31777,3.64782,0.73767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-17,19:05:55.04,3,2,"Allsup, Chase",1000112387,Right,AUB_TIG,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,2,90.19682,-1.123075,-0.145145,1549.112729,262.364977,2:45,5.96442,1.09994,5.68111,-31.6312,3.16378,15.06402,2.28144,2.21997,82.30742,-6.944852,2.55165,0.424551,,,,,,,,,,,,-7.6437,2.31689,-1.09703,50,5.85021,-0.34245,-130.93062,-3.73732,-13.18166,29.33609,-28.17857,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,65e2c150-14aa-11ef-a1e3-4f5a61f5c185,88.78189,,,7.8894,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:05:55.04,2024-05-17T19:05:55.0419000-05:00,2024-05-18T00:05:55.0419000Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,835e52a3-700c-46f4-ad8d-49aeac0ef9b9,54.81815,-132.00575,14.66805,5.96825,-2.70461,-14.08929,-1.09333,0.14064,-6.59083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-17,19:06:12.67,3,3,"Allsup, Chase",1000112387,Right,AUB_TIG,"Lebron, Justin",807311,Right,ALA_CRI,Undefined,1,Top,1,2,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,2,95.75961,-2.426797,0.035706,2206.791546,210.400813,1:00,6.23062,0.88314,5.74499,-16.62249,14.12705,7.6978,2.58454,1.55786,87.3333,-5.55689,1.414071,0.399108,,,,,,,,,,,,-3.93177,8.20827,-0.89098,50,6.01875,-0.43721,-138.95903,-6.44989,-7.6584,32.25159,-16.18588,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,705a0bc0-14aa-11ef-a1e3-4f5a61f5c185,94.44159,,,8.42631,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:06:12.67,2024-05-17T19:06:12.6742072-05:00,2024-05-18T00:06:12.6742072Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,fa871c89-5fe3-46e0-9070-f219ed58073c,54.75527,-140.05835,16.1258,6.2292,-5.89818,-8.09294,-0.88052,-0.17617,-3.8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-17,19:06:49.60,4,1,"Allsup, Chase",1000112387,Right,AUB_TIG,"Hamiter, William",1000078159,Left,ALA_CRI,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,2,78.64265,-0.228997,-2.068796,2345.82954,41.491612,7:30,6.20267,1.13217,5.60285,-49.85707,-4.27268,-4.98969,1.83399,-1.21581,72.71824,-9.293371,-2.960708,0.485936,,,,,,,,,,,,1.95933,-1.66417,-0.9517,50,6.15074,4.31764,-114.21935,-2.12889,2.5916,20.79325,-34.37524,AUB_TIG,ALA_CRI,PlainsmanPark,D1,SEC,20240517-PlainsmanPark-1,867512b0-14aa-11ef-a1e3-4f5a61f5c185,77.56659,,,5.92441,,,,,,,f881fbdc-766b-496b-8d7b-bb3646997c7d,2024-05-18,00:06:49.60,2024-05-17T19:06:49.6010296-05:00,2024-05-18T00:06:49.6010296Z,,v3,471236,471226,17 May 2024 19:00-alabama@auburn,"Wright, Carter",1000051670,Right,AUB_TIG,24c319c3-2227-4eac-8726-c1486164551e,54.89913,-115.10777,10.39662,6.21033,-0.66017,-17.18762,-1.13381,4.20692,1.2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
