GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
691e2ee9-c688-42c8-b995-129220297fa2,1,f7a06d20-c2d6-11ee-b34e-d93b32a75248,a228575f-e9c5-4321-a48d-9329cfb9cefa,2024-02-03,14:58:20.94,2024-02-03,20:58:20.94,2024-02-03T14:58:20.9480000-06:00,2024-02-03T20:58:20.9480000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,80.77069,49.71014,148.74943,32.30013,98.95952,-67.3133,143.87005,-40.02535,261.3586,-130.48206,303.6166,-5.68946,251.02477,132.83579
691e2ee9-c688-42c8-b995-129220297fa2,2,fffd3c00-c2d6-11ee-b34e-d93b32a75248,0975237c-b7a5-46ce-8789-213fc0998d92,2024-02-03,14:58:35.01,2024-02-03,20:58:35.01,2024-02-03T14:58:35.0140000-06:00,2024-02-03T20:58:35.0140000Z,AUB_PRC,AUB_TIG,InPlay,Double,NoShift,83.10143,51.0527,149.31721,33.37623,100.22007,-68.02998,144.58104,-41.0423,262.64347,-131.13168,306.83605,-4.08415,250.10713,132.27724
691e2ee9-c688-42c8-b995-129220297fa2,3,1e22d320-c2d7-11ee-b34e-d93b32a75248,4dd94960-3a20-4111-8ace-820317fef0f1,2024-02-03,14:59:25.57,2024-02-03,20:59:25.57,2024-02-03T14:59:25.5740000-06:00,2024-02-03T20:59:25.5740000Z,AUB_PRC,AUB_TIG,StrikeCalled,Undefined,NoShift,85.906,69.23318,145.26653,40.44308,74.79686,-45.96702,140.48312,-21.47332,246.34685,-128.74255,291.97085,1.41946,249.2161,128.28631
691e2ee9-c688-42c8-b995-129220297fa2,4,2b1333e0-c2d7-11ee-b34e-d93b32a75248,88151626-e000-4e1a-b73d-3cb53fdde493,2024-02-03,14:59:47.20,2024-02-03,20:59:47.20,2024-02-03T14:59:47.2010000-06:00,2024-02-03T20:59:47.2010000Z,AUB_PRC,AUB_TIG,StrikeSwinging,Undefined,NoShift,87.06615,67.50805,145.76953,39.71004,92.98378,-57.29843,141.6164,-21.55362,249.24097,-130.47362,290.59415,4.12644,249.43731,129.22228
691e2ee9-c688-42c8-b995-129220297fa2,5,3803e2c0-c2d7-11ee-b34e-d93b32a75248,8c34a932-7cea-45eb-8ae7-ac9cd3d1ccbc,2024-02-03,15:00:08.97,2024-02-03,21:00:08.97,2024-02-03T15:00:08.9750000-06:00,2024-02-03T21:00:08.9750000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,91.41742,72.74426,147.62365,38.41151,92.23318,-58.4023,141.38058,-31.42233,248.44976,-130.11566,287.59104,6.12503,249.3095,129.29054
691e2ee9-c688-42c8-b995-129220297fa2,6,48021fc0-c2d7-11ee-b34e-d93b32a75248,22e6ad3f-9e78-48a2-9874-9e296c7cd5a2,2024-02-03,15:00:35.79,2024-02-03,21:00:35.79,2024-02-03T15:00:35.7980000-06:00,2024-02-03T21:00:35.7980000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,91.88476,73.09541,147.35725,39.01287,92.10358,-63.49793,141.36294,-23.54825,249.85514,-130.37908,292.12378,6.46747,248.93794,128.87958
691e2ee9-c688-42c8-b995-129220297fa2,7,5a055480-c2d7-11ee-b34e-d93b32a75248,5042ffe3-88e9-4248-a909-1897b7b9f2fb,2024-02-03,15:01:05.98,2024-02-03,21:01:05.98,2024-02-03T15:01:05.9810000-06:00,2024-02-03T21:01:05.9810000Z,AUB_PRC,AUB_TIG,FoulBall,Undefined,NoShift,90.03199,72.22979,146.41949,38.53961,91.98028,-63.13998,139.27033,-24.24791,248.10767,-130.63029,293.03504,4.71359,248.13748,128.11591
691e2ee9-c688-42c8-b995-129220297fa2,8,72023ad0-c2d7-11ee-b34e-d93b32a75248,e3676cb2-cbd6-44eb-99d2-f0f700151913,2024-02-03,15:01:46.26,2024-02-03,21:01:46.26,2024-02-03T15:01:46.2620000-06:00,2024-02-03T21:01:46.2620000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,92.465,75.43092,144.5675,42.05835,95.66555,-61.0096,142.20865,-27.10811,246.77435,-130.45543,294.73859,7.76853,247.5449,127.82577
691e2ee9-c688-42c8-b995-129220297fa2,9,81c25d60-c2d7-11ee-b34e-d93b32a75248,da0172ae-958f-410d-9e49-6b25a6b06565,2024-02-03,15:02:12.64,2024-02-03,21:02:12.64,2024-02-03T15:02:12.6470000-06:00,2024-02-03T21:02:12.6470000Z,AUB_PRC,AUB_TIG,BallCalled,Undefined,NoShift,91.30419,74.29761,144.97844,41.62811,96.18714,-59.62578,138.57605,-26.6746,245.4728,-128.26281,294.70897,7.96758,247.29804,127.84921
691e2ee9-c688-42c8-b995-129220297fa2,10,a027bca0-c2d7-11ee-b34e-d93b32a75248,b73da7e0-4d92-44e5-a3a7-f753bfdc812f,2024-02-03,15:03:03.66,2024-02-03,21:03:03.66,2024-02-03T15:03:03.6620000-06:00,2024-02-03T21:03:03.6620000Z,AUB_PRC,AUB_TIG,InPlay,Out,NoShift,91.65392,73.31677,145.18218,40.67576,93.42995,-63.06094,141.48902,-30.74208,247.88404,-132.10929,294.33024,7.07085,250.01688,127.71518
