GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
e81b1677-6131-4355-a952-62c5335fb85c,1,bba16480-d368-11ee-811c-3948ac82e2c8,53256ad8-ec03-4292-9004-d10f7ed155c1,2024-02-24,17:02:25.59,2024-02-24,23:02:25.59,2024-02-24T17:02:25.5940000-06:00,2024-02-24T23:02:25.5940000Z,OLE_REB,HIG_PAN,StrikeCalled,Undefined,NoShift,83.54869,50.15412,151.49874,27.23714,77.85776,-56.18598,145.769,-42.20629,263.9433,-133.68072,317.9377,-4.44866,247.47135,130.99612,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,2,c5dae2a0-d368-11ee-811c-3948ac82e2c8,a79cdd09-da5a-40d9-be33-20ed831eb87c,2024-02-24,17:02:42.76,2024-02-24,23:02:42.76,2024-02-24T17:02:42.7670000-06:00,2024-02-24T23:02:42.7670000Z,OLE_REB,HIG_PAN,BallCalled,Undefined,NoShift,85.03167,50.67352,148.69973,25.18584,79.16243,-57.45082,145.61821,-42.06022,267.8137,-135.88463,318.60315,-4.69739,248.01882,131.38125,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,3,d10bb910-d368-11ee-811c-3948ac82e2c8,26fc6921-1b26-4cc6-a533-6aa53fe933a6,2024-02-24,17:03:01.59,2024-02-24,23:03:01.59,2024-02-24T17:03:01.5960000-06:00,2024-02-24T23:03:01.5960000Z,OLE_REB,HIG_PAN,BallCalled,Undefined,NoShift,84.94183,51.01628,147.87808,25.228,78.98477,-57.5353,144.45748,-44.02258,267.77064,-135.41298,319.37358,-4.58365,249.44743,132.57637,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,4,deaec800-d368-11ee-811c-3948ac82e2c8,0de033fa-e615-4e80-8165-37e86c7b2aff,2024-02-24,17:03:20.18,2024-02-24,23:03:20.18,2024-02-24T17:03:20.1890000-06:00,2024-02-24T23:03:20.1890000Z,OLE_REB,HIG_PAN,InPlay,Out,NoShift,99.24472,57.67993,148.74261,26.61153,78.94172,-59.9908,144.41876,-41.87351,265.64812,-135.30127,319.26507,-3.84773,245.51186,130.84451,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,5,f1c9d560-d368-11ee-811c-3948ac82e2c8,86d83c41-4d03-4cbf-a919-a756b98dfc9d,2024-02-24,17:03:56.39,2024-02-24,23:03:56.39,2024-02-24T17:03:56.3900000-06:00,2024-02-24T23:03:56.3900000Z,OLE_REB,HIG_PAN,BallCalled,Undefined,NoShift,98.80839,78.98293,149.38862,33.86554,76.30479,-47.50588,149.15547,-30.48527,265.63969,-134.81576,323.58425,4.81186,255.53276,137.04829,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,6,fd38c640-d368-11ee-811c-3948ac82e2c8,e8f852c9-d3fb-4194-8bba-1ac9ff4369bf,2024-02-24,17:04:15.52,2024-02-24,23:04:15.52,2024-02-24T17:04:15.5240000-06:00,2024-02-24T23:04:15.5240000Z,OLE_REB,HIG_PAN,StrikeCalled,Undefined,NoShift,97.79668,78.98257,149.06189,33.67437,76.68964,-47.29371,149.75293,-31.10522,267.16978,-135.28726,320.92984,3.3521,255.53451,136.95868,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,7,08e20100-d369-11ee-811c-3948ac82e2c8,c3d7b522-7e5d-4833-996e-be02547b1cb3,2024-02-24,17:04:35.15,2024-02-24,23:04:35.15,2024-02-24T17:04:35.1590000-06:00,2024-02-24T23:04:35.1590000Z,OLE_REB,HIG_PAN,BallCalled,Undefined,NoShift,98.89913,80.51885,149.52377,34.84247,78.18835,-48.56951,149.42103,-30.69578,266.45707,-134.96793,319.70765,3.49152,251.14219,135.06204,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,8,182356a0-d369-11ee-811c-3948ac82e2c8,7d81b3a1-c366-48d7-91a2-3073742ac4b9,2024-02-24,17:05:00.82,2024-02-24,23:05:00.82,2024-02-24T17:05:00.8230000-06:00,2024-02-24T23:05:00.8230000Z,OLE_REB,HIG_PAN,FoulBallNotFieldable,Undefined,NoShift,99.49067,79.95809,147.97724,35.53781,79.00616,-49.46069,148.90974,-29.38103,266.92356,-135.76701,323.76426,2.84398,251.24248,136.66442,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,9,26567090-d369-11ee-811c-3948ac82e2c8,73a045e8-0cee-4ef3-b7fb-2d95d31f0321,2024-02-24,17:05:24.64,2024-02-24,23:05:24.64,2024-02-24T17:05:24.6450000-06:00,2024-02-24T23:05:24.6450000Z,OLE_REB,HIG_PAN,FoulBallNotFieldable,Undefined,NoShift,97.18645,79.32425,147.30529,38.74782,89.59216,-58.76036,146.74936,-33.18943,267.48033,-135.80049,318.26024,3.81487,255.40358,139.21265,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
e81b1677-6131-4355-a952-62c5335fb85c,10,34a7e7f0-d369-11ee-811c-3948ac82e2c8,547a5394-0cac-4a06-b65f-ef5fde2d8daa,2024-02-24,17:05:48.66,2024-02-24,23:05:48.66,2024-02-24T17:05:48.6690000-06:00,2024-02-24T23:05:48.6690000Z,OLE_REB,HIG_PAN,FoulBallNotFieldable,Undefined,NoShift,99.29646,81.19007,149.23544,37.80903,90.34421,-58.59049,149.15645,-33.6734,266.08911,-134.46375,314.34213,3.68528,255.61769,139.08875,"Ross, Jackson",1000027513,"Lege, Ethan",1000088572,"Fischer, Andrew",702652,"Hill, Luke",702619,"Kramer, John",1000119594,"Groff, Ethan",1000066514,"Hughes, Treyson",1000066719,true
