GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
14c8d0ab-f665-49ea-b19d-5bacdac96efb,1,e5649e40-d7f5-11ee-b7dc-39459cb21bbd,797cf0f8-dca2-4421-a3d1-6e00a6b181b4,2024-03-01,13:02:40.53,2024-03-01,18:02:40.53,2024-03-01T13:02:40.5340312-05:00,2024-03-01T18:02:40.5340312Z,KEN_WIL,LIP_BIS,BallCalled,Undefined,NoShift,97.72668,79.03808,142.80261,53.84836,77.45275,-41.88468,149.96309,-24.6273,255.58044,-146.90788,328.7296,-14.05361,285.83013,126.47442,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,2,ec9e9800-d7f5-11ee-b7dc-39459cb21bbd,495eb77c-24a7-4a38-8b25-d7a81512bdbb,2024-03-01,13:02:52.71,2024-03-01,18:02:52.71,2024-03-01T13:02:52.7112344-05:00,2024-03-01T18:02:52.7112344Z,KEN_WIL,LIP_BIS,InPlay,Single,NoShift,100.81826,82.45644,144.37899,53.49505,80.11998,-43.801,151.63477,-24.2366,252.66842,-147.86974,329.55027,-13.6226,284.77772,124.4814,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,3,1cb3dbe0-d7f6-11ee-b7dc-39459cb21bbd,39172623-d211-4409-adc8-2d3f8333a22c,2024-03-01,13:04:13.35,2024-03-01,18:04:13.35,2024-03-01T13:04:13.3598872-05:00,2024-03-01T18:04:13.3598872Z,KEN_WIL,LIP_BIS,InPlay,Single,NoShift,63.68636,58.171,152.39512,13.20685,88.20349,-67.68991,142.20965,-37.23297,272.36443,-134.17806,330.66671,-2.27731,277.46697,130.84272,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,4,31aa8710-d7f6-11ee-b7dc-39459cb21bbd,25c622e8-b9bc-4b71-bfc9-ba2329c72a67,2024-03-01,13:04:48.45,2024-03-01,18:04:48.45,2024-03-01T13:04:48.4542616-05:00,2024-03-01T18:04:48.4542616Z,KEN_WIL,LIP_BIS,BallCalled,Undefined,NoShift,95.33018,85.09842,136.86049,37.53519,76.33703,-44.71663,138.52593,-24.86709,257.35214,-146.94276,327.45266,-12.94078,280.75527,126.9048,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,5,498f2a70-d7f6-11ee-b7dc-39459cb21bbd,27d87b60-c43d-42a1-887f-0b366be35567,2024-03-01,13:05:28.61,2024-03-01,18:05:28.61,2024-03-01T13:05:28.6156440-05:00,2024-03-01T18:05:28.6156440Z,KEN_WIL,LIP_BIS,FoulBallNotFieldable,Undefined,NoShift,94.80161,83.55778,132.52748,36.95009,64.298,-45.17213,137.52385,-27.69619,250.46869,-144.54134,327.63911,-15.17045,281.1446,129.94631,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,6,559d4180-d7f6-11ee-b7dc-39459cb21bbd,4a0cc898-22c1-4679-96fd-51afb4a046b8,2024-03-01,13:05:48.77,2024-03-01,18:05:48.77,2024-03-01T13:05:48.7740568-05:00,2024-03-01T18:05:48.7740568Z,KEN_WIL,LIP_BIS,StrikeCalled,Undefined,NoShift,94.10755,82.97721,135.23083,36.42622,64.59814,-45.7852,135.86758,-25.34457,254.18666,-148.06453,328.22322,-12.37421,277.77956,128.27125,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,7,61cd5f80-d7f6-11ee-b7dc-39459cb21bbd,9e2f01e5-1f11-41ff-b627-f6e7bbe50725,2024-03-01,13:06:09.21,2024-03-01,18:06:09.21,2024-03-01T13:06:09.2106904-05:00,2024-03-01T18:06:09.2106904Z,KEN_WIL,LIP_BIS,BallCalled,Undefined,NoShift,91.87844,82.04643,135.69841,36.48695,92.10188,-50.61195,136.667,-26.17621,249.81848,-151.13848,321.65406,-14.42287,278.37213,127.8652,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,8,6e5ded00-d7f6-11ee-b7dc-39459cb21bbd,e1ab490e-3202-48b9-9f1e-ab6ac508144e,2024-03-01,13:06:30.34,2024-03-01,18:06:30.34,2024-03-01T13:06:30.3492760-05:00,2024-03-01T18:06:30.3492760Z,KEN_WIL,LIP_BIS,StrikeCalled,Undefined,NoShift,96.30449,84.25289,134.91244,35.88031,94.48588,-54.22882,139.22975,-26.54407,249.00051,-149.86344,326.17715,-13.2609,280.26069,129.42032,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,9,825ec680-d7f6-11ee-b7dc-39459cb21bbd,2ca7a78b-4bd5-4ec1-afe3-7ac4970198cf,2024-03-01,13:07:03.83,2024-03-01,18:07:03.83,2024-03-01T13:07:03.8320000-05:00,2024-03-01T18:07:03.8320000Z,KEN_WIL,LIP_BIS,BallCalled,StolenBase,NoShift,97.82581,55.18831,143.95083,19.98571,91.10275,-70.90985,143.37384,-38.04448,274.69619,-146.75763,331.81218,-2.57563,266.3472,133.55593,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
14c8d0ab-f665-49ea-b19d-5bacdac96efb,10,93e37c70-d7f6-11ee-b7dc-39459cb21bbd,878521e5-0aca-405f-a7e5-1a57167ec95f,2024-03-01,13:07:33.19,2024-03-01,18:07:33.19,2024-03-01T13:07:33.1914392-05:00,2024-03-01T18:07:33.1914392Z,KEN_WIL,LIP_BIS,StrikeCalled,Undefined,NoShift,88.77874,51.07084,155.0455,27.60579,91.7474,-72.11357,143.14102,-43.35763,271.13669,-146.78912,326.85806,-1.07753,265.43426,131.62961,"Lopez, Nick",810846,"Pitre, Emilien",692150,"Daly, Mitchell",1000134803,"Smith, Grant",1000083889,"McCarthy, Nolan",1000061901,"Cameron, Griffin",1000274385,"Herrera, Patrick",1000122578,true
