GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
50204444-8d7b-4742-8c16-bbc108513688,1,7dc99590-0cbd-11ef-8441-278a3dd31d34,071ff381-ab9b-48be-861d-14e40f5bf052,2024-05-07,17:02:26.81,2024-05-07,22:02:26.81,2024-05-07T17:02:26.8189820-05:00,2024-05-07T22:02:26.8189820Z,TEN_VOL,QUN_RYL,HitByPitch,Undefined,NoShift,102.06063,77.26038,149.51898,45.27418,77.24779,-50.97502,146.02572,-39.72869,248.60747,-133.84103,297.44532,0.99104,239.47794,114.79858,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,2,a00725f0-0cbd-11ef-8441-278a3dd31d34,33862e28-dfb2-42be-a133-71440486ebc4,2024-05-07,17:03:24.07,2024-05-07,22:03:24.07,2024-05-07T17:03:24.0717948-05:00,2024-05-07T22:03:24.0717948Z,TEN_VOL,QUN_RYL,StrikeCalled,Undefined,NoShift,64.0913,55.62197,140.37176,27.08284,84.91388,-67.00896,140.89047,-30.81386,256.85369,-127.16744,304.11936,5.71317,241.86455,122.76529,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,3,b3c1ceb0-0cbd-11ef-8441-278a3dd31d34,4852d06e-b069-4e8d-aaa2-71d40b00005d,2024-05-07,17:03:57.33,2024-05-07,22:03:57.33,2024-05-07T17:03:57.3336188-05:00,2024-05-07T22:03:57.3336188Z,TEN_VOL,QUN_RYL,FoulBallNotFieldable,Undefined,NoShift,65.04372,55.58186,140.60464,26.49051,84.99767,-66.36381,142.46718,-28.42663,258.34053,-127.07148,304.8392,6.17565,240.7677,125.93597,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,4,d86cb590-0cbd-11ef-8441-278a3dd31d34,f7f60f8e-79be-4821-a58a-8fcc1091b0b0,2024-05-07,17:04:58.80,2024-05-07,22:04:58.80,2024-05-07T17:04:58.8060000-05:00,2024-05-07T22:04:58.8060000Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,64.26021,56.41227,139.90443,24.68133,84.99845,-68.76183,144.59288,-28.56926,261.18084,-127.63796,301.28195,6.09322,240.44438,128.48332,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,5,e9cd68c0-0cbd-11ef-8441-278a3dd31d34,b5ca8333-026a-4b63-8b74-297612ccc914,2024-05-07,17:05:27.87,2024-05-07,22:05:27.87,2024-05-07T17:05:27.8738556-05:00,2024-05-07T22:05:27.8738556Z,TEN_VOL,QUN_RYL,StrikeCalled,Undefined,NoShift,106.41507,63.82626,140.44489,15.97788,84.62049,-72.36356,147.3481,-40.86231,259.03783,-127.36655,299.72209,5.7919,241.76236,124.02441,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,6,04d98ae0-0cbe-11ef-8441-278a3dd31d34,5a2d8e2a-744b-4f8f-b9e0-87971730606d,2024-05-07,17:06:13.33,2024-05-07,22:06:13.33,2024-05-07T17:06:13.3335164-05:00,2024-05-07T22:06:13.3335164Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,101.81625,56.11083,145.61155,18.34513,84.25101,-69.93704,142.66583,-44.87734,260.82473,-126.74101,299.34305,6.21021,242.8515,122.95626,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,7,0effa810-0cbe-11ef-8441-278a3dd31d34,c123c5d4-c9d3-426f-989c-b61032460b89,2024-05-07,17:06:30.25,2024-05-07,22:06:30.25,2024-05-07T17:06:30.2519932-05:00,2024-05-07T22:06:30.2519932Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,105.31008,63.10358,148.14299,16.97204,84.8596,-70.05459,143.15826,-44.03134,261.29752,-126.43363,299.01793,5.69086,243.53716,124.13587,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,8,1ab3b840-0cbe-11ef-8441-278a3dd31d34,f2bdde1d-8c0b-4e05-a201-3eb0c4c911d0,2024-05-07,17:06:49.96,2024-05-07,22:06:49.96,2024-05-07T17:06:49.9623036-05:00,2024-05-07T22:06:49.9623036Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,102.96197,58.7501,147.08575,12.48363,83.89376,-69.13844,141.75015,-51.29228,261.51019,-127.27247,304.70247,3.58559,243.60324,122.67477,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,9,24056e70-0cbe-11ef-8441-278a3dd31d34,d53d1ba2-f744-4128-93e9-c84b503c7859,2024-05-07,17:07:05.66,2024-05-07,22:07:05.66,2024-05-07T17:07:05.6667260-05:00,2024-05-07T22:07:05.6667260Z,TEN_VOL,QUN_RYL,FoulBallNotFieldable,Undefined,NoShift,105.80132,58.84095,151.55699,11.59073,84.06355,-69.55461,143.93958,-49.70105,262.37891,-127.59866,302.5946,4.38079,243.50476,122.75637,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,10,309ab6e0-0cbe-11ef-8441-278a3dd31d34,994334f3-bcc9-4a8d-8b9c-a29a98a6251a,2024-05-07,17:07:26.71,2024-05-07,22:07:26.71,2024-05-07T17:07:26.7122300-05:00,2024-05-07T22:07:26.7122300Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,104.89512,61.99594,147.67647,16.25455,83.8483,-69.49263,140.9175,-48.2006,263.2892,-127.85302,298.56832,5.44897,243.38354,124.24431,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,11,4503ef20-0cbe-11ef-8441-278a3dd31d34,f2dab43e-aaa9-47e7-b8cd-43188a350c61,2024-05-07,17:08:00.87,2024-05-07,22:08:00.87,2024-05-07T17:08:00.8720508-05:00,2024-05-07T22:08:00.8720508Z,TEN_VOL,QUN_RYL,StrikeCalled,Undefined,NoShift,105.00889,55.09683,140.01381,20.0487,82.59448,-69.44914,141.85761,-32.01893,262.3752,-128.53357,300.69576,6.08659,245.52045,122.38181,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,12,5f23b570-0cbe-11ef-8441-278a3dd31d34,da488550-54d1-45c5-b3e9-0c52cd7687ba,2024-05-07,17:08:44.80,2024-05-07,22:08:44.80,2024-05-07T17:08:44.8062588-05:00,2024-05-07T22:08:44.8062588Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,106.68776,61.23099,143.39058,20.99251,85.14022,-70.76436,143.15322,-32.50294,263.02749,-127.18971,294.86224,5.75022,245.18548,125.01941,,,,,,,,,,,,,,,true
50204444-8d7b-4742-8c16-bbc108513688,13,6ad3ce00-0cbe-11ef-8441-278a3dd31d34,d0ad5815-1f0a-4898-a336-a78e27f20df5,2024-05-07,17:09:04.40,2024-05-07,22:09:04.40,2024-05-07T17:09:04.4011644-05:00,2024-05-07T22:09:04.4011644Z,TEN_VOL,QUN_RYL,BallCalled,Undefined,NoShift,105.36563,57.71655,143.19766,20.04719,84.52522,-69.6858,140.78601,-34.0981,263.61448,-127.51003,295.13019,6.41045,245.40775,123.98801,,,,,,,,,,,,,,,true
